#
#"Frequency / THz"	"Total ACS [pw] [Magnitude / nm^2]"
#-----------------------------------------------------
400.00000000000	6351.6690374610
401.00000000000	5975.1946699960
402.00000000000	5669.1461042580
403.00000000000	5472.8790175891
404.00000000000	5407.6116457564
405.00000000000	5474.3393193719
406.00000000000	5654.4813568317
407.00000000000	5913.1620663849
408.00000000000	6204.4377234234
409.00000000000	6478.2935306037
410.00000000000	6687.4090226005
411.00000000000	6793.5646400439
412.00000000000	6772.8047973601
413.00000000000	6618.2594180714
414.00000000000	6340.7782510174
415.00000000000	5966.9614880035
416.00000000000	5535.5639728511
417.00000000000	5091.8480274716
418.00000000000	4681.4208724114
419.00000000000	4344.3276793775
420.00000000000	4109.9069339089
421.00000000000	3993.1529769486
422.00000000000	3993.1945156656
423.00000000000	4093.9482634933
424.00000000000	4266.5939263797
425.00000000000	4473.8102728297
426.00000000000	4675.0169550118
427.00000000000	4831.8679740823
428.00000000000	4913.3611719166
429.00000000000	4899.7262461926
430.00000000000	4784.9782181302
431.00000000000	4577.2296734757
432.00000000000	4297.3410656663
433.00000000000	3975.8366061956
434.00000000000	3648.6234314501
435.00000000000	3352.0563950739
436.00000000000	3118.0688902618
437.00000000000	2970.0420021905
438.00000000000	2919.8050628660
439.00000000000	2966.2760341744
440.00000000000	3095.8556795936
441.00000000000	3284.5078091813
442.00000000000	3501.1099311772
443.00000000000	3711.7177670198
444.00000000000	3884.2131395342
445.00000000000	3992.4677970755
446.00000000000	4019.7474332482
447.00000000000	3960.7726912840
448.00000000000	3822.2400478215
449.00000000000	3621.7161019870
450.00000000000	3385.1153623551
451.00000000000	3143.1763868713
452.00000000000	2927.2150531543
453.00000000000	2764.9681241685
454.00000000000	2676.9252618119
455.00000000000	2673.7017056134
456.00000000000	2754.7254823362
457.00000000000	2908.4416218712
458.00000000000	3114.0117131150
459.00000000000	3344.1555204211
460.00000000000	3568.8592942677
461.00000000000	3759.4131535101
462.00000000000	3892.2230881717
463.00000000000	3951.9134767298
464.00000000000	3933.2941371431
465.00000000000	3842.0455643575
466.00000000000	3693.8217232497
467.00000000000	3512.1221409064
468.00000000000	3325.1283863099
469.00000000000	3161.9298723317
470.00000000000	3048.6464115146
471.00000000000	3004.9580703402
472.00000000000	3041.5335031180
