#Parameters = {R=160}
#"Wavelength / nm"	"Total RCS [pw] (R=160) [Magnitude / nm^2]"
#-------------------------------------------------------------
749.48114500000	215867.59923245
745.75238308458	228356.12328390
742.06053960396	241941.77564658
738.40506896552	256190.22144402
734.78543627451	270379.44397042
731.20111707317	283460.14978339
727.65159708738	294069.14338608
724.13637198068	300498.61923893
720.65494711538	301203.78633482
717.20683732057	295330.15991570
713.79156666667	283065.84551757
710.40866824645	265704.68481610
707.05768396226	245342.98676551
703.73816431925	224377.80310643
700.44966822430	205120.83233737
697.19176279070	189757.25729559
693.96402314815	180682.66582981
690.76603225806	181024.34185564
687.59738073394	193943.19250223
684.45766666667	213551.88852030
681.34649545455	210453.96439419
678.26347963801	175624.43565343
675.20823873874	137687.55382483
672.18039910314	109808.13818404
669.17959375000	90691.309894165
666.20546222222	77280.854365943
663.25765044248	67533.137721639
660.33581057269	60293.502883281
657.43960087719	54949.552944149
654.56868558952	51215.971815187
651.72273478261	48999.028670372
648.90142424242	48412.020598236
646.10443534483	49675.829607889
643.33145493562	52937.792365962
640.58217521368	58264.806164602
637.85629361702	65555.669370422
635.15351271186	74490.573679834
632.47354008439	84552.398314282
629.81608823529	95126.437508209
627.18087447699	105645.54879012
624.56762083333	115712.25601442
621.97605394191	125167.35960890
619.40590495868	134114.85902202
616.85690946502	142915.17660435
614.32880737705	152054.45905985
611.82134285714	162349.02658520
609.33426422764	174880.99677480
606.86732388664	190758.40764829
604.42027822581	209744.26537022
601.99288755020	226407.26385621
599.58491600000	228795.81901064
597.19613147410	213321.78154812
594.82630555556	192638.13227177
592.47521343874	176932.91603183
590.14263385827	167944.90379357
587.82834901961	165022.36937182
585.53214453125	166530.46044452
583.25380933852	166500.34654104
580.99313565891	162719.81400419
578.74991891892	159674.31901499
576.52395769231	158424.85093763
574.31505363985	158470.40927395
572.12301145038	159396.46757078
569.94763878327	160999.09899577
567.78874621212	163210.84412161
565.64614716981	166058.91569519
563.51965789474	169640.93355558
561.40909737828	173978.39911083
559.31428731343	179532.75476604
557.23505204461	186622.01038228
555.17121851852	195556.88378896
553.12261623616	206473.48999806
551.08907720588	219067.24110036
549.07043589744	232391.87478413
547.06652919708	244910.37240871
545.07719636364	255024.33573621
543.10227898551	261718.39904316
541.14162093863	264856.85362905
539.19506834532	265005.55967604
537.26246953405	263310.17664391
535.34367500000	260112.23229229
533.43853736655	256089.20004337
531.54691134752	251497.02292452
529.66865371025	245984.47949975
527.80362323944	239527.34005574
525.95168070175	233448.41515736
524.11268881119	228545.41344264
522.28651219512	224666.54741223
520.47301736111	221375.59305055
518.67207266436	218365.01899353
516.88354827586	215577.90038764
515.10731615120	212835.19129869
513.34325000000	210203.62339897
511.59122525597	207619.18807195
509.85111904762	204989.82590307
508.12281016949	202230.75508643
506.40617905405	199297.58682510
504.70110774411	196130.87604298
503.00747986577	192737.43985790
501.32518060201	189163.59459779
499.65409666667	185531.54341423
497.99411627907	182027.65472201
496.34512913907	178850.09181392
494.70702640264	175763.01895558
493.07970065789	172610.76091826
491.46304590164	168565.44226614
489.85695751634	162628.58390869
488.26133224756	154634.79805622
486.67606818182	145345.18357010
485.10106472492	135848.77489939
483.53622258065	127096.52828044
481.98144372990	119797.17163174
480.43663141026	114443.66090828
478.90169009585	111280.83782844
477.37652547771	110337.88302113
475.86104444444	111399.59283083
474.35515506329	114170.00635048
472.85876656151	118015.73089168
471.37178930818	122226.02027514
469.89413479624	126162.18338223
468.42571562500	129251.06859875
466.96644548287	131046.72621754
465.51623913043	131297.06421787
464.07501238390	129960.11483656
462.64268209877	127234.54500928
461.21916615385	123493.25855576
459.80438343558	119207.96029840
458.39825382263	114645.81608019
457.00069817073	110224.31051682
455.61163829787	106367.38272268
454.23099696970	103227.25272470
452.85869788520	100885.26432164
451.49466566265	99434.039353270
450.13882582583	99005.198684253
448.79110479042	99716.105405820
447.45142985075	101633.48523926
446.11972916667	104726.64790605
444.79593175074	108834.09003946
443.47996745562	113675.48911417
442.17176696165	119252.95353515
440.87126176471	125174.22652789
439.57838416422	130636.11289836
438.29306725146	135385.81178895
437.01524489796	139293.63001523
435.74485174419	142334.20794501
434.48182318841	144556.66125857
433.22609537572	146042.95963570
431.97760518732	146946.07849708
430.73629022989	147424.95405724
429.50208882521	147616.33712115
428.27494000000	147604.60462865
427.05478347578	147317.13325324
425.84155965909	146651.63452351
424.63520963173	145798.93537442
423.43567514124	144742.12826407
422.24289859155	143453.80306044
421.05682303371	141912.06096680
419.87739215686	140129.43804396
418.70455027933	138181.60084900
417.53824233983	136177.25241954
416.37841388889	134222.97474094
415.22501108033	132386.64510877
414.07798066298	130653.59179528
412.93726997245	128795.15609820
411.80282692308	126570.01335633
410.67460000000	124318.26830427
409.55253825137	122023.86975267
408.43659128065	119771.81168798
407.32670923913	117711.99311615
406.22284281843	116008.12315893
405.12494324324	114817.95385695
404.03296226415	114246.37227659
402.94685215054	114329.37302303
401.86656568365	115027.71410944
400.79205614973	116237.05829447
399.72327733333	117955.10562579
