#Parameters = {R=30}
#"Wavelength / nm"	"Total ACS [pw] (R=30) [Magnitude / nm^2]"
#------------------------------------------------------------
749.48114500000	0.0000000000000
745.75238308458	0.0000000000000
742.06053960396	0.0000000000000
738.40506896552	0.0000000000000
734.78543627451	0.0000000000000
731.20111707317	0.0000000000000
727.65159708738	0.0000000000000
724.13637198068	0.0000000000000
720.65494711538	0.0000000000000
717.20683732057	0.0000000000000
713.79156666667	0.0000000000000
710.40866824645	0.0000000000000
707.05768396226	0.0000000000000
703.73816431925	0.0000000000000
700.44966822430	0.0000000000000
697.19176279070	0.0000000000000
693.96402314815	0.0000000000000
690.76603225806	0.0000000000000
687.59738073394	0.0000000000000
684.45766666667	0.045355493738754
681.34649545455	0.18015905234310
678.26347963801	0.30557424088070
675.20823873874	0.43277118196090
672.18039910314	0.55645968600631
669.17959375000	0.67551242847696
666.20546222222	0.78794816566825
663.25765044248	1.0049888157007
660.33581057269	1.1462206776110
657.43960087719	1.2802089774007
654.56868558952	1.4105191084988
651.72273478261	1.5900790317549
648.90142424242	1.9663275996768
646.10443534483	2.3086427961379
643.33145493562	2.6434889507725
640.58217521368	2.9796060796023
637.85629361702	3.3164131394437
635.15351271186	3.6967072944518
632.47354008439	4.0419966933815
629.81608823529	4.3883667275838
627.18087447699	4.7343232361264
624.56762083333	5.0790330561091
621.97605394191	5.5110270753677
619.40590495868	5.9144146558826
616.85690946502	6.4302553648018
614.32880737705	6.9505798451789
611.82134285714	7.4754967824248
609.33426422764	8.0051940916079
606.86732388664	8.5392295428171
604.42027822581	9.0782836829960
601.99288755020	9.6214659031466
599.58491600000	10.169266856946
597.19613147410	10.766946920295
594.82630555556	11.327511768749
592.47521343874	11.897838210198
590.14263385827	12.428733144746
587.82834901961	12.602690665502
585.53214453125	12.777864666989
583.25380933852	12.954609984533
580.99313565891	13.170599194588
578.74991891892	13.361563580629
576.52395769231	13.553772342822
574.31505363985	13.748082574375
572.12301145038	13.944872172666
569.94763878327	14.143634258292
567.78874621212	14.344432451593
565.64614716981	14.546673070847
563.51965789474	14.789464835312
561.40909737828	16.085383060608
559.31428731343	17.335075012634
557.23505204461	18.598094446149
555.17121851852	19.935320754178
553.12261623616	21.245592844908
551.08907720588	22.568251256371
549.07043589744	23.904146530209
547.06652919708	25.253374134516
545.07719636364	26.616109196388
543.10227898551	27.992060741247
541.14162093863	29.381931016917
539.19506834532	30.785513815583
537.26246953405	31.969464316500
535.34367500000	33.132857449529
533.43853736655	34.310070256775
531.54691134752	35.499726552000
529.66865371025	36.702177041198
527.80362323944	37.928225155659
525.95168070175	39.166370375408
524.11268881119	40.410879332216
522.28651219512	41.668089455935
520.47301736111	42.937928702595
518.67207266436	44.277173819538
516.88354827586	45.594915134709
515.10731615120	47.053430264449
513.34325000000	48.556430395849
511.59122525597	50.080226581727
509.85111904762	51.625449318925
508.12281016949	53.107612629486
506.40617905405	54.680064008859
504.70110774411	56.273869554697
503.00747986577	57.890249006783
501.32518060201	59.529156584982
499.65409666667	61.190974164744
497.99411627907	62.876110900877
496.34512913907	64.584509101110
494.70702640264	66.739322723951
493.07970065789	68.973239273501
491.46304590164	71.298427315170
489.85695751634	73.558609245867
488.26133224756	75.915483216723
486.67606818182	78.314540562349
485.10106472492	80.758104554922
483.53622258065	83.246428164272
481.98144372990	85.780991716681
480.43663141026	88.362506444180
478.90169009585	90.991805943133
477.37652547771	93.669766279972
475.86104444444	98.146121055395
474.35515506329	103.51505084376
472.85876656151	108.97010272002
471.37178930818	114.57037411496
469.89413479624	120.26550453216
468.42571562500	126.07693786303
466.96644548287	132.00918292216
465.51623913043	138.06649025660
464.07501238390	144.23082687163
462.64268209877	150.55160524976
461.21916615385	157.01322757908
459.80438343558	163.62243577710
458.39825382263	170.13111167385
457.00069817073	176.67516036697
455.61163829787	183.34836550447
454.23099696970	190.20384380891
452.85869788520	197.25121315960
451.49466566265	204.49845864688
450.13882582583	212.01647630328
448.79110479042	219.73409555989
447.45142985075	227.66706013813
446.11972916667	235.84285508043
444.79593175074	244.27195341244
443.47996745562	253.16111951300
442.17176696165	263.03757246189
440.87126176471	274.19668032462
439.57838416422	285.78667788753
438.29306725146	297.75272558681
437.01524489796	310.25615071722
435.74485174419	323.26681973115
434.48182318841	336.82994599330
433.22609537572	350.97380509004
431.97760518732	365.73529446565
430.73629022989	381.15261146710
429.50208882521	397.31740888448
428.27494000000	414.20503514918
427.05478347578	434.44384202693
425.84155965909	460.29706702442
424.63520963173	487.57713609085
423.43567514124	516.24990869835
422.24289859155	546.67151073130
421.05682303371	578.90442256147
419.87739215686	613.08614354461
418.70455027933	649.37517560628
417.53824233983	687.91094311681
416.37841388889	728.95971483320
415.22501108033	772.67316449620
414.07798066298	819.29605601988
412.93726997245	876.31841434392
411.80282692308	953.87654969598
410.67460000000	1037.7695499926
409.55253825137	1128.8024502596
408.43659128065	1227.5195709978
407.32670923913	1334.8835067598
406.22284281843	1451.6214667260
405.12494324324	1578.8232555987
404.03296226415	1717.2650289691
402.94685215054	1868.0908944304
401.86656568365	2032.2780801527
400.79205614973	2210.9059057490
399.72327733333	2421.8480496509
