#Parameters = {R=190}
#"Wavelength / nm"	"Total RCS [pw] (R=190) [Magnitude / nm^2]"
#-------------------------------------------------------------
749.48114500000	72748.460814070
745.75238308458	71517.587274626
742.06053960396	73253.811659804
738.40506896552	78172.789846896
734.78543627451	86348.501082595
731.20111707317	97573.332254221
727.65159708738	111467.52493205
724.13637198068	127284.61510656
720.65494711538	143923.20471577
717.20683732057	160672.78192185
713.79156666667	177258.10811361
710.40866824645	193950.95480915
707.05768396226	211620.66437987
703.73816431925	231798.80850795
700.44966822430	256761.26552243
697.19176279070	289233.88746269
693.96402314815	329948.23473591
690.76603225806	369326.43534181
687.59738073394	380504.03997543
684.45766666667	348356.82175235
681.34649545455	301077.97016003
678.26347963801	265019.92411023
675.20823873874	245189.93287386
672.18039910314	241306.02909783
669.17959375000	254525.63242442
666.20546222222	259792.40641904
663.25765044248	239009.12234349
660.33581057269	223355.25764190
657.43960087719	215774.90804826
654.56868558952	212533.48699913
651.72273478261	211679.98052352
648.90142424242	212424.26913385
646.10443534483	214469.23031588
643.33145493562	217740.93168359
640.58217521368	222365.75716610
637.85629361702	228651.71135496
635.15351271186	237087.17469774
632.47354008439	248341.47222048
629.81608823529	263152.39836945
627.18087447699	282077.00386903
624.56762083333	304941.50574575
621.97605394191	330242.46699939
619.40590495868	355043.24114614
616.85690946502	375798.86764264
614.32880737705	390001.77925354
611.82134285714	397470.65426327
609.33426422764	399680.07389207
606.86732388664	398835.66070721
604.42027822581	397279.15813874
601.99288755020	396688.82215018
599.58491600000	392940.05982928
597.19613147410	376519.64804650
594.82630555556	358358.65450332
592.47521343874	346542.56451047
590.14263385827	339635.12448304
587.82834901961	335435.10784181
585.53214453125	330231.54847258
583.25380933852	325091.59181159
580.99313565891	320880.37191114
578.74991891892	317470.24157401
576.52395769231	314647.67053721
574.31505363985	312245.09832644
572.12301145038	310134.11094185
569.94763878327	308210.97181511
567.78874621212	306413.93211285
565.64614716981	304736.69074746
563.51965789474	303201.84143279
561.40909737828	300930.29304324
559.31428731343	299413.72753316
557.23505204461	299386.35461809
555.17121851852	301706.44520937
553.12261623616	306704.30702111
551.08907720588	312747.88669980
549.07043589744	315485.03051735
547.06652919708	310777.80027621
545.07719636364	298549.82413787
543.10227898551	281946.81460288
541.14162093863	264016.96228975
539.19506834532	246575.11044397
537.26246953405	230538.38035552
535.34367500000	217591.48599065
533.43853736655	208181.38102923
531.54691134752	202360.14448094
529.66865371025	200034.38676842
527.80362323944	200787.27592557
525.95168070175	203908.30192917
524.11268881119	208437.53763254
522.28651219512	213389.49659389
520.47301736111	217774.23926382
518.67207266436	220797.63057028
516.88354827586	221756.48756556
515.10731615120	220052.86426898
513.34325000000	215486.23945901
511.59122525597	208353.98845962
509.85111904762	199330.97857074
508.12281016949	189308.80011689
506.40617905405	179292.23363688
504.70110774411	170119.15583823
503.00747986577	162173.48384238
501.32518060201	154937.89720001
499.65409666667	147419.82436875
497.99411627907	139390.23619149
496.34512913907	131662.04511567
494.70702640264	124931.50167848
493.07970065789	120513.60710231
491.46304590164	119208.09973904
489.85695751634	121500.75971562
488.26133224756	127557.56932387
486.67606818182	137031.92394096
485.10106472492	149042.67459660
483.53622258065	162395.39726776
481.98144372990	175934.31027101
480.43663141026	188760.10552360
478.90169009585	200210.06240691
477.37652547771	209694.39905435
475.86104444444	215903.64326252
474.35515506329	218430.78770552
472.85876656151	218115.26250223
471.37178930818	216294.95952345
469.89413479624	214254.80003479
468.42571562500	212683.00886565
466.96644548287	211729.72861455
465.51623913043	211324.00952720
464.07501238390	211387.46861998
462.64268209877	211853.02232688
461.21916615385	212719.23236939
459.80438343558	213967.77850179
458.39825382263	215820.77995317
457.00069817073	218021.66054314
455.61163829787	219919.06198866
454.23099696970	220977.35584665
452.85869788520	220828.88535847
451.49466566265	219358.98694518
450.13882582583	216786.99996983
448.79110479042	213485.94884488
447.45142985075	209822.02069596
446.11972916667	206064.27401385
444.79593175074	202364.24121930
443.47996745562	198759.91708569
442.17176696165	194913.08703558
440.87126176471	190691.61847944
439.57838416422	186253.58118422
438.29306725146	181550.47275706
437.01524489796	176586.36758697
435.74485174419	171483.26337075
434.48182318841	166408.69401081
433.22609537572	161592.17707319
431.97760518732	157256.67682098
430.73629022989	153690.23666874
429.50208882521	151206.14521816
428.27494000000	150032.90810450
427.05478347578	150394.36578978
425.84155965909	152531.66671460
424.63520963173	155902.70894896
423.43567514124	159751.79328216
422.24289859155	163441.05772589
421.05682303371	166567.96178615
419.87739215686	168976.58244029
418.70455027933	170735.46711454
417.53824233983	172042.69265949
416.37841388889	173122.12022653
415.22501108033	174163.42995942
414.07798066298	175287.88819835
412.93726997245	176611.26347429
411.80282692308	178162.15571220
410.67460000000	179575.73989619
409.55253825137	180665.62140256
408.43659128065	181311.48432636
407.32670923913	181476.40522105
406.22284281843	181192.41975450
405.12494324324	180522.87949620
404.03296226415	179554.43074180
402.94685215054	178408.14860515
401.86656568365	177194.11434522
400.79205614973	176019.52663898
399.72327733333	174929.86919572
