#Parameters = {R=120}
#"Wavelength / nm"	"Total RCS [pw] (R=120) [Magnitude / nm^2]"
#-------------------------------------------------------------
749.48114500000	212232.43305518
745.75238308458	211756.64748471
742.06053960396	211162.69636715
738.40506896552	210428.21745814
734.78543627451	209536.88143198
731.20111707317	208475.16562690
727.65159708738	207212.42805987
724.13637198068	205734.91801129
720.65494711538	204069.60682151
717.20683732057	202233.09202076
713.79156666667	200257.33664192
710.40866824645	198194.69719139
707.05768396226	196124.50609171
703.73816431925	194161.85339721
700.44966822430	192470.09608690
697.19176279070	191276.90860457
693.96402314815	190895.81974385
690.76603225806	191751.70631747
687.59738073394	194441.09585904
684.45766666667	199779.86755288
681.34649545455	208523.53306800
678.26347963801	221113.64685731
675.20823873874	236765.66109387
672.18039910314	252193.53515361
669.17959375000	261384.83589457
666.20546222222	258720.06230614
663.25765044248	243698.88315310
660.33581057269	221114.30238106
657.43960087719	196681.32572076
654.56868558952	173979.35386216
651.72273478261	154135.40062649
648.90142424242	137084.16553052
646.10443534483	123135.17934079
643.33145493562	111752.33292263
640.58217521368	102463.91215180
637.85629361702	94892.487269830
635.15351271186	88746.577603973
632.47354008439	83802.872862965
629.81608823529	79889.858188116
627.18087447699	76875.162220572
624.56762083333	74656.088707950
621.97605394191	73152.993962882
619.40590495868	72295.545398972
616.85690946502	72022.154819988
614.32880737705	72345.176646850
611.82134285714	73241.421174094
609.33426422764	74698.870456695
606.86732388664	76716.302432335
604.42027822581	79302.135679676
601.99288755020	82473.511031562
599.58491600000	86254.108770922
597.19613147410	90670.846392800
594.82630555556	95747.971983598
592.47521343874	101497.26926342
590.14263385827	107942.32749294
587.82834901961	115369.51971341
585.53214453125	123364.73264559
583.25380933852	131636.14932891
580.99313565891	139683.50780050
578.74991891892	146758.33967594
576.52395769231	151895.71182321
574.31505363985	154073.27206564
572.12301145038	152510.91394643
569.94763878327	147003.39654502
567.78874621212	138086.11775390
565.64614716981	126897.25204235
563.51965789474	114763.01165295
561.40909737828	101947.85953349
559.31428731343	90874.131177432
557.23505204461	82135.009166563
555.17121851852	76121.002302089
553.12261623616	72971.115431273
551.08907720588	71799.722202467
549.07043589744	69548.102307834
547.06652919708	63507.474209202
545.07719636364	55425.246015966
543.10227898551	48111.469076596
541.14162093863	42432.328092203
539.19506834532	38195.983924087
537.26246953405	34950.664700922
535.34367500000	32604.984185685
533.43853736655	31010.833420870
531.54691134752	30102.006779906
529.66865371025	29875.339506648
527.80362323944	30365.973917234
525.95168070175	31626.845800220
524.11268881119	33703.153953064
522.28651219512	36605.095338593
520.47301736111	40283.567554341
518.67207266436	44615.645745292
516.88354827586	49408.917661669
515.10731615120	54691.778192277
513.34325000000	59992.594887880
511.59122525597	65021.219804496
509.85111904762	69615.645428433
508.12281016949	73699.460625887
506.40617905405	77272.429024301
504.70110774411	80388.485970336
503.00747986577	83135.456459405
501.32518060201	85618.220914668
499.65409666667	87946.734569631
497.99411627907	90220.989960521
496.34512913907	92500.541755443
494.70702640264	94803.821220688
493.07970065789	96722.132477462
491.46304590164	97625.212099664
489.85695751634	97223.096401500
488.26133224756	96067.757183003
486.67606818182	94996.587619276
485.10106472492	94414.346392378
483.53622258065	94312.964495255
481.98144372990	94528.273343489
480.43663141026	94930.703805915
478.90169009585	95473.237449460
477.37652547771	96146.877615104
475.86104444444	96833.631964841
474.35515506329	97607.820466019
472.85876656151	98516.430257300
471.37178930818	99577.420328212
469.89413479624	100802.13237161
468.42571562500	102226.28521399
466.96644548287	103876.08076711
465.51623913043	105766.29426138
464.07501238390	107870.09701995
462.64268209877	110104.43708353
461.21916615385	112309.02302662
459.80438343558	114279.83819712
458.39825382263	116015.40297873
457.00069817073	117194.02466845
455.61163829787	117555.62140682
454.23099696970	117163.85353690
452.85869788520	116180.93430044
451.49466566265	114801.28846060
450.13882582583	113200.96608045
448.79110479042	111516.12157684
447.45142985075	109844.06765988
446.11972916667	108227.69347330
444.79593175074	106689.21408693
443.47996745562	105236.26630484
442.17176696165	103698.11541882
440.87126176471	102033.39058584
439.57838416422	100309.41194947
438.29306725146	98442.317028667
437.01524489796	96376.427197592
435.74485174419	94058.134230745
434.48182318841	91451.542662920
433.22609537572	88539.847259317
431.97760518732	85336.134896933
430.73629022989	81871.533962467
429.50208882521	78208.552976036
428.27494000000	74423.822446848
427.05478347578	70305.944880261
425.84155965909	65818.468062191
424.63520963173	61639.773745714
423.43567514124	57904.688997860
422.24289859155	54738.232503005
421.05682303371	52275.824407251
419.87739215686	50597.365979116
418.70455027933	49746.511034954
417.53824233983	49686.472125831
416.37841388889	50327.519986152
415.22501108033	51534.583896952
414.07798066298	53150.083102194
412.93726997245	55195.651602702
411.80282692308	57676.981353045
410.67460000000	60022.734481993
409.55253825137	62113.539981165
408.43659128065	63894.419711430
407.32670923913	65371.001811567
406.22284281843	66597.278845002
405.12494324324	67652.715120977
404.03296226415	68618.477040792
402.94685215054	69557.534177612
401.86656568365	70507.065649693
400.79205614973	71476.729862276
399.72327733333	72502.425898656
