#Parameters = {R=170}
#"Wavelength / nm"	"Total RCS [pw] (R=170) [Magnitude / nm^2]"
#-------------------------------------------------------------
749.48114500000	311476.11676103
745.75238308458	290447.61553214
742.06053960396	267512.59035715
738.40506896552	245436.98943905
734.78543627451	226966.82069276
731.20111707317	214992.77852686
727.65159708738	213196.47640377
724.13637198068	226234.67255911
720.65494711538	250897.41512817
717.20683732057	256875.08082002
713.79156666667	221183.90367966
710.40866824645	173808.17083505
707.05768396226	137075.96355469
703.73816431925	111726.60019343
700.44966822430	94061.339143847
697.19176279070	81310.444508702
693.96402314815	71859.333076160
690.76603225806	64830.964583908
687.59738073394	59743.473978314
684.45766666667	56488.083015500
681.34649545455	55208.490598219
678.26347963801	56053.243075474
675.20823873874	59203.981821109
672.18039910314	64772.759714337
669.17959375000	72695.644665016
666.20546222222	82659.250330713
663.25765044248	94107.596672945
660.33581057269	106347.21553034
657.43960087719	118717.66125165
654.56868558952	130752.61474157
651.72273478261	142351.93337350
648.90142424242	153758.72785621
646.10443534483	165289.73861027
643.33145493562	177851.38508995
640.58217521368	192792.87905461
637.85629361702	211907.83672090
635.15351271186	236700.98464482
632.47354008439	264746.40386608
629.81608823529	282310.53635413
627.18087447699	271983.36815200
624.56762083333	242327.59471878
621.97605394191	214857.88256378
619.40590495868	197340.21690482
616.85690946502	189248.87723190
614.32880737705	189837.45717975
611.82134285714	193668.54528715
609.33426422764	188738.34676789
606.86732388664	181142.59740399
604.42027822581	176754.05461421
601.99288755020	174935.76499938
599.58491600000	174679.77735814
597.19613147410	175459.44788220
594.82630555556	177035.57632347
592.47521343874	179341.91847503
590.14263385827	182458.07593256
587.82834901961	186898.32265112
585.53214453125	192614.33587327
583.25380933852	200002.89277626
580.99313565891	209537.65551134
578.74991891892	221707.85425537
576.52395769231	236768.23041268
574.31505363985	254296.56957712
572.12301145038	272917.22822465
569.94763878327	290350.77863090
567.78874621212	304274.16752053
565.64614716981	313343.55470780
563.51965789474	317503.60320917
561.40909737828	315873.52747974
559.31428731343	311971.78584119
557.23505204461	307139.89725384
555.17121851852	302152.57211369
553.12261623616	296149.87892421
551.08907720588	286869.99265517
549.07043589744	276621.91520996
547.06652919708	268687.19301336
545.07719636364	263000.31427842
543.10227898551	258596.52884647
541.14162093863	254573.93010448
539.19506834532	250803.23861001
537.26246953405	247437.17173064
535.34367500000	244401.26594880
533.43853736655	241588.32255403
531.54691134752	238890.13236149
529.66865371025	236205.27083405
527.80362323944	233455.40680746
525.95168070175	230582.40755647
524.11268881119	227557.59629603
522.28651219512	224413.13244490
520.47301736111	221241.94293746
518.67207266436	218251.50298364
516.88354827586	215727.36221566
515.10731615120	213794.95944901
513.34325000000	212682.79045921
511.59122525597	211624.67950140
509.85111904762	208906.39367165
508.12281016949	203020.91803473
506.40617905405	193916.50572414
504.70110774411	182843.15262018
503.00747986577	171289.90809281
501.32518060201	160440.02103558
499.65409666667	151161.51119554
497.99411627907	144054.87451039
496.34512913907	139434.34344687
494.70702640264	137209.67503964
493.07970065789	137629.11254542
491.46304590164	140318.16701059
489.85695751634	144578.58758760
488.26133224756	149597.00035033
486.67606818182	154584.43179140
485.10106472492	158788.13401467
483.53622258065	161549.49153413
481.98144372990	162378.18880204
480.43663141026	161040.87277512
478.90169009585	157596.28686496
477.37652547771	152407.57689679
475.86104444444	145162.27054615
474.35515506329	137313.10087893
472.85876656151	129973.90467445
471.37178930818	123522.61311863
469.89413479624	118008.59987536
468.42571562500	113343.46161726
466.96644548287	109543.50744403
465.51623913043	106813.42684200
464.07501238390	105399.28892449
462.64268209877	105507.01206084
461.21916615385	107261.74043397
459.80438343558	110637.51878258
458.39825382263	115820.53226318
457.00069817073	122562.87638394
455.61163829787	130014.48199790
454.23099696970	137536.28680914
452.85869788520	144614.56179107
451.49466566265	150893.17869714
450.13882582583	156164.91160155
448.79110479042	160325.15533683
447.45142985075	163361.49212612
446.11972916667	165365.76243302
444.79593175074	166551.62901470
443.47996745562	167198.48590398
442.17176696165	167550.55921103
440.87126176471	167756.18799806
439.57838416422	167895.89425603
438.29306725146	168005.11399518
437.01524489796	168071.93740200
435.74485174419	168072.10965249
434.48182318841	167955.62120320
433.22609537572	167619.97511503
431.97760518732	166942.44859307
430.73629022989	165807.36121795
429.50208882521	164208.69701217
428.27494000000	162206.47326524
427.05478347578	159675.47511711
425.84155965909	156624.41255941
424.63520963173	153709.37850033
423.43567514124	150929.68524510
422.24289859155	148214.62319784
421.05682303371	145446.36015213
419.87739215686	142557.49285481
418.70455027933	139507.40075261
417.53824233983	136344.64284173
416.37841388889	133187.34372391
415.22501108033	130205.87465619
414.07798066298	127581.67890218
412.93726997245	125424.54633329
411.80282692308	124158.20816541
410.67460000000	124194.37525161
409.55253825137	125407.53334949
408.43659128065	127512.24436697
407.32670923913	130143.54206751
406.22284281843	132937.90469823
405.12494324324	135605.50230528
404.03296226415	137974.42504522
402.94685215054	139964.41723184
401.86656568365	141576.62517727
400.79205614973	142851.05124268
399.72327733333	143857.70827004
