#Parameters = {R=170}
#"Wavelength / nm"	"Total ACS [pw] (R=170) [Magnitude / nm^2]"
#-------------------------------------------------------------
749.48114500000	16952.478595616
745.75238308458	17449.525670946
742.06053960396	17934.390704401
738.40506896552	18629.948724715
734.78543627451	19853.701494919
731.20111707317	22133.018711615
727.65159708738	26452.674813873
724.13637198068	34055.302656488
720.65494711538	44080.143154041
717.20683732057	48951.213900126
713.79156666667	42810.320124872
710.40866824645	33243.365764535
707.05768396226	25998.158723477
703.73816431925	21366.818156050
700.44966822430	18481.461378115
697.19176279070	16680.303222706
693.96402314815	15570.481071942
690.76603225806	14927.561129673
687.59738073394	14615.470532634
684.45766666667	14557.885657186
681.34649545455	14699.618487230
678.26347963801	14986.222215422
675.20823873874	15363.459243691
672.18039910314	15774.873113095
669.17959375000	16163.443207964
666.20546222222	16483.192930144
663.25765044248	16708.792419644
660.33581057269	16847.779615876
657.43960087719	16943.122810909
654.56868558952	17071.643301761
651.72273478261	17409.571435480
648.90142424242	18233.091808144
646.10443534483	19583.508243852
643.33145493562	21802.716870946
640.58217521368	25441.763610069
637.85629361702	31364.868274345
635.15351271186	40679.383730990
632.47354008439	53499.545193968
629.81608823529	65265.236423498
627.18087447699	67192.734718766
624.56762083333	59291.809877190
621.97605394191	50027.719480431
619.40590495868	44603.530998620
616.85690946502	45231.231383108
614.32880737705	53349.142338493
611.82134285714	61543.007025094
609.33426422764	52919.303093964
606.86732388664	40229.583612678
604.42027822581	32578.535342658
601.99288755020	28566.572704555
599.58491600000	26544.260364900
597.19613147410	25690.457700560
594.82630555556	25614.113856499
592.47521343874	26138.144034228
590.14263385827	27140.531459067
587.82834901961	28334.414949382
585.53214453125	30056.519339784
583.25380933852	32313.928728418
580.99313565891	35083.430127545
578.74991891892	38265.049841881
576.52395769231	41627.379811263
574.31505363985	44745.284447295
572.12301145038	47092.582918132
569.94763878327	48229.452730802
567.78874621212	48057.350048507
565.64614716981	46898.286282780
563.51965789474	45384.990534412
561.40909737828	45260.919509799
559.31428731343	46203.223197391
557.23505204461	49352.795547958
555.17121851852	56195.933640606
553.12261623616	65639.880582030
551.08907720588	67950.204904318
549.07043589744	60675.809898445
547.06652919708	54053.633226446
545.07719636364	50974.432442884
543.10227898551	48325.658967850
541.14162093863	44474.456150031
539.19506834532	41242.779812250
537.26246953405	39028.904965678
535.34367500000	37930.350755169
533.43853736655	37642.829033211
531.54691134752	37984.526905600
529.66865371025	38869.712761302
527.80362323944	40286.936061970
525.95168070175	42265.600662377
524.11268881119	44878.558597912
522.28651219512	48247.960089561
520.47301736111	52516.760703078
518.67207266436	57870.831804717
516.88354827586	64422.260220613
515.10731615120	72483.203432105
513.34325000000	81021.868841342
511.59122525597	88295.020562468
509.85111904762	92274.568430180
508.12281016949	92258.541564846
506.40617905405	89503.392079171
504.70110774411	85962.463602185
503.00747986577	82808.351754039
501.32518060201	80027.515214761
499.65409666667	77401.051627934
497.99411627907	75120.270257605
496.34512913907	73294.188544575
494.70702640264	71960.661507072
493.07970065789	71135.379321868
491.46304590164	70806.870498933
489.85695751634	70987.916141690
488.26133224756	71686.669291164
486.67606818182	72873.276073244
485.10106472492	74470.172515359
483.53622258065	76344.228393850
481.98144372990	78335.307012388
480.43663141026	80304.559905954
478.90169009585	82163.499349601
477.37652547771	83958.304949978
475.86104444444	86530.235652265
474.35515506329	89646.732360364
472.85876656151	92951.282139486
471.37178930818	95912.764608559
469.89413479624	97619.204890308
468.42571562500	97513.711509725
466.96644548287	95965.703715179
465.51623913043	93943.513719500
464.07501238390	92206.552844564
462.64268209877	91075.748217641
461.21916615385	90512.962175171
459.80438343558	90333.919728268
458.39825382263	90211.634285062
457.00069817073	90066.827104561
455.61163829787	89949.731790861
454.23099696970	89982.687543327
452.85869788520	90325.269415062
451.49466566265	91120.262503313
450.13882582583	92380.134506150
448.79110479042	93916.961169320
447.45142985075	95358.099768864
446.11972916667	96306.037854310
444.79593175074	96522.007949414
443.47996745562	96075.925080048
442.17176696165	95181.587544205
440.87126176471	94171.866744985
439.57838416422	93438.532073774
438.29306725146	93235.264623665
437.01524489796	93624.373793306
435.74485174419	94523.862172272
434.48182318841	95684.968686341
433.22609537572	96799.429157965
431.97760518732	97603.774711769
430.73629022989	97975.567828314
429.50208882521	97874.832320908
428.27494000000	97415.355802011
427.05478347578	96734.621161010
425.84155965909	95962.720273875
424.63520963173	95181.788391707
423.43567514124	94494.434629267
422.24289859155	93991.979692078
421.05682303371	93768.854582597
419.87739215686	93876.627385878
418.70455027933	94342.482120188
417.53824233983	95101.721332275
416.37841388889	96052.168963375
415.22501108033	97048.722124028
414.07798066298	97941.815112960
412.93726997245	98706.520859478
411.80282692308	99266.019084881
410.67460000000	99489.211654136
409.55253825137	99486.375110374
408.43659128065	99377.746518249
407.32670923913	99233.484495059
406.22284281843	99089.180013945
405.12494324324	98938.999472980
404.03296226415	98749.774929225
402.94685215054	98492.822918053
401.86656568365	98147.644747098
400.79205614973	97714.064238373
399.72327733333	97173.127193694
