#Parameters = {R=140}
#"Wavelength / nm"	"Total RCS [pw] (R=140) [Magnitude / nm^2]"
#-------------------------------------------------------------
749.48114500000	316680.48459268
745.75238308458	283032.41241894
742.06053960396	251639.42196276
738.40506896552	224435.15382354
734.78543627451	201639.14682325
731.20111707317	182827.17795224
727.65159708738	167201.71509239
724.13637198068	154278.11506969
720.65494711538	143831.98592239
717.20683732057	135466.14724377
713.79156666667	128873.16579594
710.40866824645	123815.48150992
707.05768396226	120110.92984968
703.73816431925	117619.82758396
700.44966822430	116236.95294363
697.19176279070	115885.29109736
693.96402314815	116511.77676148
690.76603225806	118084.13039389
687.59738073394	120592.39049931
684.45766666667	124075.97886020
681.34649545455	128561.35857428
678.26347963801	134076.94127424
675.20823873874	140655.74500652
672.18039910314	148324.42090884
669.17959375000	157085.45037846
666.20546222222	166888.97131554
663.25765044248	177591.35656361
660.33581057269	188898.52116034
657.43960087719	200299.76555059
654.56868558952	211009.67758749
651.72273478261	219921.68535180
648.90142424242	225528.29892474
646.10443534483	226559.51572905
643.33145493562	222232.88674717
640.58217521368	212634.03650977
637.85629361702	198795.18266087
635.15351271186	182410.90585657
632.47354008439	165365.52869039
629.81608823529	149355.13262867
627.18087447699	135772.98216295
624.56762083333	125863.86967550
621.97605394191	121026.68583485
619.40590495868	122728.40584953
616.85690946502	129777.47137459
614.32880737705	131473.98463889
611.82134285714	117067.72742908
609.33426422764	95905.360901615
606.86732388664	78314.956332538
604.42027822581	65716.132630379
601.99288755020	56767.312529737
599.58491600000	50254.936248596
597.19613147410	45430.496048585
594.82630555556	41880.364982320
592.47521343874	39400.881482069
590.14263385827	37917.507527320
587.82834901961	37468.938414268
585.53214453125	38216.012623064
583.25380933852	40271.501675753
580.99313565891	43721.472905644
578.74991891892	48569.595406304
576.52395769231	54689.343757558
574.31505363985	61806.041606691
572.12301145038	69525.714650820
569.94763878327	77408.375921670
567.78874621212	85059.179254810
565.64614716981	92197.814215611
563.51965789474	98683.665905760
561.40909737828	104270.76673961
559.31428731343	109332.66549807
557.23505204461	114131.92383481
555.17121851852	118999.64766910
553.12261623616	124331.23504833
551.08907720588	130541.27492028
549.07043589744	137825.97157987
547.06652919708	145395.06305151
545.07719636364	150304.28185606
543.10227898551	148873.61431871
541.14162093863	142002.90202889
539.19506834532	134452.68687357
537.26246953405	129033.00148603
535.34367500000	126201.82419114
533.43853736655	125276.76248114
531.54691134752	125092.24155611
529.66865371025	124830.45923551
527.80362323944	124663.47067005
525.95168070175	124889.21850566
524.11268881119	125533.85399770
522.28651219512	126542.15980865
520.47301736111	127868.47335817
518.67207266436	129505.90334361
516.88354827586	131477.29164619
515.10731615120	133981.07029639
513.34325000000	137042.66386218
511.59122525597	140773.86876893
509.85111904762	145326.86139093
508.12281016949	150825.73668998
506.40617905405	157280.37407360
504.70110774411	164477.72965755
503.00747986577	171903.06897819
501.32518060201	178775.02596730
499.65409666667	184304.78375409
497.99411627907	187957.02893540
496.34512913907	189609.83019214
494.70702640264	189297.40525470
493.07970065789	187443.41920477
491.46304590164	184639.59952248
489.85695751634	181324.71002510
488.26133224756	177772.11553053
486.67606818182	174121.99546298
485.10106472492	170513.91438342
483.53622258065	167165.09339086
481.98144372990	164224.50405792
480.43663141026	161670.25175385
478.90169009585	159391.32920027
477.37652547771	157267.38170452
475.86104444444	154717.40725446
474.35515506329	151949.47610950
472.85876656151	149094.37415748
471.37178930818	146062.41613818
469.89413479624	142801.92853108
468.42571562500	139242.04166797
466.96644548287	135382.69836012
465.51623913043	131221.57996099
464.07501238390	126798.51088450
462.64268209877	122177.94066264
461.21916615385	117444.03123945
459.80438343558	112673.94334425
458.39825382263	107664.92216520
457.00069817073	102430.29042328
455.61163829787	97094.831965001
454.23099696970	91678.527943969
452.85869788520	86351.632611764
451.49466566265	81404.892438959
450.13882582583	77168.889008431
448.79110479042	73923.526967298
447.45142985075	71842.218812199
446.11972916667	70982.546691111
444.79593175074	71298.172006816
443.47996745562	72614.159470102
442.17176696165	74835.330246437
440.87126176471	77775.946583803
439.57838416422	80955.664826475
438.29306725146	84006.623304157
437.01524489796	86616.088247708
435.74485174419	88539.543091418
434.48182318841	89647.655886129
433.22609537572	89940.825760569
431.97760518732	89552.020634860
430.73629022989	88717.418680071
429.50208882521	87709.623944658
428.27494000000	86760.670439978
427.05478347578	86025.660471307
425.84155965909	85759.268334306
424.63520963173	86151.597377460
423.43567514124	87214.749227625
422.24289859155	88913.264302541
421.05682303371	91145.555263786
419.87739215686	93754.708362300
418.70455027933	96525.114401698
417.53824233983	99261.301920229
416.37841388889	101780.90517275
415.22501108033	103966.70725832
414.07798066298	105755.22926823
412.93726997245	107131.96620835
411.80282692308	107952.73049978
410.67460000000	108242.09280471
409.55253825137	108069.65499910
408.43659128065	107524.08453636
407.32670923913	106680.47640477
406.22284281843	105606.85328784
405.12494324324	104365.87124903
404.03296226415	103026.10325151
402.94685215054	101656.96181817
401.86656568365	100329.19918393
400.79205614973	99105.433206096
399.72327733333	97951.244981157
