#Parameters = {R=110}
#"Wavelength / nm"	"Total RCS [pw] (R=110) [Magnitude / nm^2]"
#-------------------------------------------------------------
749.48114500000	185723.72848249
745.75238308458	184554.04555918
742.06053960396	183597.86044126
738.40506896552	182824.65926114
734.78543627451	182207.70321935
731.20111707317	181721.08825142
727.65159708738	181328.70990495
724.13637198068	181010.61412521
720.65494711538	180759.26845925
717.20683732057	180552.28832535
713.79156666667	180367.99707879
710.40866824645	180185.52713055
707.05768396226	179984.50898464
703.73816431925	179745.11563277
700.44966822430	179448.10374253
697.19176279070	179074.89974496
693.96402314815	178607.76508407
690.76603225806	178029.85255546
687.59738073394	177326.15338010
684.45766666667	176478.83819295
681.34649545455	175472.58128917
678.26347963801	174297.51749834
675.20823873874	172948.04606387
672.18039910314	171424.10791748
669.17959375000	169732.89268335
666.20546222222	167891.15385517
663.25765044248	165927.98100859
660.33581057269	163888.60069985
657.43960087719	161839.52278721
654.56868558952	159875.46939035
651.72273478261	158085.98268714
648.90142424242	156595.97022518
646.10443534483	155794.21325211
643.33145493562	156048.91985190
640.58217521368	157841.10196016
637.85629361702	161751.73960363
635.15351271186	168351.90552951
632.47354008439	177858.72084001
629.81608823529	189398.17451655
627.18087447699	200082.01149685
624.56762083333	205188.89703175
621.97605394191	200939.90961864
619.40590495868	187619.02882096
616.85690946502	168818.16448257
614.32880737705	149371.78411032
611.82134285714	131720.32936739
609.33426422764	116650.88907540
606.86732388664	104115.80048799
604.42027822581	93781.171427559
601.99288755020	85275.032291841
599.58491600000	78272.727453463
597.19613147410	72512.995425984
594.82630555556	67792.079628591
592.47521343874	63951.898435165
590.14263385827	60855.440206593
587.82834901961	58330.855425948
585.53214453125	56430.812565174
583.25380933852	55091.821269645
580.99313565891	54264.065685326
578.74991891892	53909.106590604
576.52395769231	53998.407687977
574.31505363985	54512.392988277
572.12301145038	55440.305124371
569.94763878327	56779.314477308
567.78874621212	58535.236314612
565.64614716981	60722.503913454
563.51965789474	63360.927080359
561.40909737828	66445.434338612
559.31428731343	70032.578349504
557.23505204461	74142.352680332
555.17121851852	78785.594920590
553.12261623616	83947.935695992
551.08907720588	89565.179582168
549.07043589744	95491.186619577
547.06652919708	101457.92637057
545.07719636364	107034.23815596
543.10227898551	111617.71110367
541.14162093863	114488.13971654
539.19506834532	114966.15687503
537.26246953405	112763.49544867
535.34367500000	107586.62042085
533.43853736655	100038.61959132
531.54691134752	91133.209468677
529.66865371025	81946.862290567
527.80362323944	73344.834447060
525.95168070175	65895.568106197
524.11268881119	59901.545691552
522.28651219512	55448.579955188
520.47301736111	52332.112665551
518.67207266436	49828.550460882
516.88354827586	46860.691644223
515.10731615120	42838.027611766
513.34325000000	38616.420439377
511.59122525597	34983.255737554
509.85111904762	32141.694150033
508.12281016949	30022.756170416
506.40617905405	28517.644757515
504.70110774411	27553.035557236
503.00747986577	27099.605333996
501.32518060201	27162.563997505
499.65409666667	27772.985462784
497.99411627907	28969.744172529
496.34512913907	30784.198040642
494.70702640264	33392.431934999
493.07970065789	36716.293758471
491.46304590164	40582.032656681
489.85695751634	44800.861705258
488.26133224756	49153.002569257
486.67606818182	53418.271350520
485.10106472492	57419.526432189
483.53622258065	61038.820133553
481.98144372990	64223.942926519
480.43663141026	66977.298715714
478.90169009585	69336.729789327
477.37652547771	71364.081327448
475.86104444444	73006.191756136
474.35515506329	74386.954352108
472.85876656151	75616.200509270
471.37178930818	76713.721076104
469.89413479624	77648.833503786
468.42571562500	78338.545600366
466.96644548287	78703.709849397
465.51623913043	78765.450167150
464.07501238390	78671.957146091
462.64268209877	78589.918211099
461.21916615385	78608.310278668
459.80438343558	78743.740004705
458.39825382263	79054.820576658
457.00069817073	79504.830017648
455.61163829787	80017.943583012
454.23099696970	80587.866943779
452.85869788520	81200.751151056
451.49466566265	81870.439771276
450.13882582583	82594.833962056
448.79110479042	83398.067351088
447.45142985075	84279.285423063
446.11972916667	85260.213672011
444.79593175074	86316.338954597
443.47996745562	87451.083680221
442.17176696165	88623.799585128
440.87126176471	89714.464574538
439.57838416422	90520.110020818
438.29306725146	90927.733543091
437.01524489796	90875.476200711
435.74485174419	90404.951938756
434.48182318841	89604.627785525
433.22609537572	88593.377592187
431.97760518732	87480.946413828
430.73629022989	86350.035887520
429.50208882521	85250.437961422
428.27494000000	84204.203664145
427.05478347578	83063.546589561
425.84155965909	81725.609047858
424.63520963173	80377.739720646
423.43567514124	78952.363621294
422.24289859155	77375.399824111
421.05682303371	75593.843947722
419.87739215686	73567.806154876
418.70455027933	71282.286834733
417.53824233983	68747.117236685
416.37841388889	66001.196380985
415.22501108033	63099.114337074
414.07798066298	60123.342103452
412.93726997245	56927.555273624
411.80282692308	53453.710981792
410.67460000000	50450.479432564
409.55253825137	48038.231660505
408.43659128065	46287.160985350
407.32670923913	45226.641814331
406.22284281843	44829.894320357
405.12494324324	45028.934744136
404.03296226415	45717.658389503
402.94685215054	46771.801651682
401.86656568365	48076.624330016
400.79205614973	49517.779715518
399.72327733333	51123.091027032
