#Parameters = {R=200}
#"Wavelength / nm"	"Total ACS [pw] (R=200) [Magnitude / nm^2]"
#-------------------------------------------------------------
749.48114500000	14648.121510928
745.75238308458	15075.254290839
742.06053960396	15809.671095555
738.40506896552	17077.685207879
734.78543627451	19217.811584474
731.20111707317	22760.113951240
727.65159708738	28600.420014026
724.13637198068	37416.263934302
720.65494711538	47297.928511433
717.20683732057	52163.081368063
713.79156666667	48525.830592100
710.40866824645	41457.269782795
707.05768396226	36351.869779900
703.73816431925	35735.892307398
700.44966822430	42495.675038967
697.19176279070	57591.385169320
693.96402314815	55733.935834587
690.76603225806	38651.313759160
687.59738073394	28201.589968559
684.45766666667	23081.085157062
681.34649545455	20574.471210840
678.26347963801	19390.807688083
675.20823873874	18996.772667028
672.18039910314	19161.028804550
669.17959375000	19789.042159350
666.20546222222	20854.189972517
663.25765044248	22366.139189571
660.33581057269	24348.427260104
657.43960087719	26810.296343924
654.56868558952	29700.578996859
651.72273478261	33001.024247330
648.90142424242	36632.156016076
646.10443534483	39650.531678527
643.33145493562	41574.012331182
640.58217521368	42312.651540253
637.85629361702	42306.370770923
635.15351271186	42368.531207664
632.47354008439	43667.248920529
629.81608823529	48181.041286178
627.18087447699	59991.931282711
624.56762083333	82238.340735461
621.97605394191	88746.668992787
619.40590495868	68321.306773479
616.85690946502	54889.705122591
614.32880737705	53408.608413263
611.82134285714	55929.901183143
609.33426422764	47388.036490406
606.86732388664	39170.930850846
604.42027822581	35046.245150534
601.99288755020	33128.899053774
599.58491600000	32391.220273626
597.19613147410	32408.747787317
594.82630555556	33003.561038775
592.47521343874	34122.003124801
590.14263385827	35727.287205756
587.82834901961	37529.127407486
585.53214453125	40077.573805800
583.25380933852	43567.630734275
580.99313565891	48295.508975862
578.74991891892	54640.223561426
576.52395769231	62955.472163464
574.31505363985	73157.437508760
572.12301145038	83824.070032824
569.94763878327	91577.984942081
567.78874621212	93165.127195424
565.64614716981	89385.258936754
563.51965789474	84776.593420057
561.40909737828	85079.826859558
559.31428731343	84763.428609746
557.23505204461	78719.331450221
555.17121851852	74426.358657578
553.12261623616	72149.412904485
551.08907720588	69917.680561842
549.07043589744	68435.249494849
547.06652919708	67783.874837771
545.07719636364	67724.126504746
543.10227898551	68142.033658130
541.14162093863	69003.692089646
539.19506834532	70280.974028012
537.26246953405	71658.654398408
535.34367500000	73371.923314623
533.43853736655	75359.890698240
531.54691134752	77591.656919304
529.66865371025	80133.156620978
527.80362323944	83216.284462151
525.95168070175	87246.205468543
524.11268881119	92805.093541335
522.28651219512	100364.45308826
520.47301736111	109513.88043708
518.67207266436	117664.46301757
516.88354827586	120630.09089543
515.10731615120	116718.40755705
513.34325000000	109155.01243918
511.59122525597	102201.96944385
509.85111904762	97560.912898596
508.12281016949	95237.787036629
506.40617905405	94681.730851295
504.70110774411	95210.640170197
503.00747986577	96233.346009377
501.32518060201	97383.460588488
499.65409666667	98587.677631117
497.99411627907	100118.17095464
496.34512913907	102367.25364446
494.70702640264	106094.20785906
493.07970065789	111311.39859545
491.46304590164	117312.69503184
489.85695751634	122572.98428862
488.26133224756	125317.86945637
486.67606818182	124932.90875323
485.10106472492	122527.02137103
483.53622258065	119731.00090863
481.98144372990	117145.49300000
480.43663141026	114168.57049806
478.90169009585	110463.95664543
477.37652547771	106924.29509654
475.86104444444	105388.59418896
474.35515506329	106171.07307634
472.85876656151	108634.15058132
471.37178930818	112050.13338331
469.89413479624	115551.99139544
468.42571562500	118418.98417038
466.96644548287	120296.38109404
465.51623913043	121289.04616400
464.07501238390	121758.71873914
462.64268209877	122054.72312277
461.21916615385	122357.12613812
459.80438343558	122590.87841551
458.39825382263	122364.77864487
457.00069817073	121404.58320264
455.61163829787	119877.17406858
454.23099696970	118231.09717220
452.85869788520	116979.06768762
451.49466566265	116515.92309855
450.13882582583	117048.31605880
448.79110479042	118636.22374498
447.45142985075	121119.46284347
446.11972916667	124180.80686589
444.79593175074	127379.72762938
443.47996745562	130270.54333214
442.17176696165	132687.04349251
440.87126176471	134431.56674047
439.57838416422	135490.27083476
438.29306725146	136112.68188258
437.01524489796	136454.62485065
435.74485174419	136567.07989241
434.48182318841	136503.79207520
433.22609537572	136331.55493128
431.97760518732	136118.08525568
430.73629022989	135886.87620938
429.50208882521	135652.56958830
428.27494000000	135406.92101668
427.05478347578	135177.64800976
425.84155965909	134935.96420913
424.63520963173	134566.48196607
423.43567514124	134087.24314984
422.24289859155	133553.09471549
421.05682303371	133011.34360278
419.87739215686	132479.78364386
418.70455027933	131948.54007124
417.53824233983	131429.07482458
416.37841388889	130940.82913312
415.22501108033	130505.48678057
414.07798066298	130123.27048855
412.93726997245	129807.48086017
411.80282692308	129594.69407552
410.67460000000	129489.99393030
409.55253825137	129518.28527333
408.43659128065	129636.36721038
407.32670923913	129745.39263111
406.22284281843	129760.92581848
405.12494324324	129631.06127097
404.03296226415	129343.88398974
402.94685215054	128934.90156008
401.86656568365	128449.24919573
400.79205614973	127940.51588394
399.72327733333	127431.86220384
