#Parameters = {R=110}
#"Wavelength / nm"	"Total ACS [pw] (R=110) [Magnitude / nm^2]"
#-------------------------------------------------------------
749.48114500000	2551.3295710204
745.75238308458	2546.1212129603
742.06053960396	2549.4374804257
738.40506896552	2559.6560968684
734.78543627451	2577.0920968431
731.20111707317	2601.7379910791
727.65159708738	2643.5177406728
724.13637198068	2703.1881448022
720.65494711538	2770.2762052625
717.20683732057	2844.8842302979
713.79156666667	2927.4336574122
710.40866824645	3018.1166949779
707.05768396226	3117.2579108166
703.73816431925	3225.3816299025
700.44966822430	3343.0328442206
697.19176279070	3470.8462953458
693.96402314815	3609.4498891330
690.76603225806	3759.9920281450
687.59738073394	3925.0581407421
684.45766666667	4107.8585392817
681.34649545455	4307.4705691661
678.26347963801	4526.0994250745
675.20823873874	4766.4637414842
672.18039910314	5032.1594975902
669.17959375000	5327.7640137634
666.20546222222	5659.2110481244
663.25765044248	6034.4305841079
660.33581057269	6463.9201115928
657.43960087719	6961.8777719051
654.56868558952	7547.5812926289
651.72273478261	8287.1961349393
648.90142424242	9303.3703120315
646.10443534483	10560.304172032
643.33145493562	12142.206894734
640.58217521368	14159.733195538
637.85629361702	16747.604846710
635.15351271186	20035.805484878
632.47354008439	24061.654370512
629.81608823529	28581.471856308
627.18087447699	32837.452620762
624.56762083333	35609.102282056
621.97605394191	35925.806970651
619.40590495868	33920.227351257
616.85690946502	30652.767434295
614.32880737705	27078.244239324
611.82134285714	23823.166459078
609.33426422764	21098.065500725
606.86732388664	18899.024290451
604.42027822581	17146.979329436
601.99288755020	15752.693679155
599.58491600000	14638.108073541
597.19613147410	13741.518473522
594.82630555556	13016.337162930
592.47521343874	12427.735405606
590.14263385827	11927.559597330
587.82834901961	11350.016343186
585.53214453125	10874.069417747
583.25380933852	10485.658777063
580.99313565891	10174.987929335
578.74991891892	9935.4434777791
576.52395769231	9762.9945980312
574.31505363985	9656.4523500160
572.12301145038	9616.5675567081
569.94763878327	9646.0100141477
567.78874621212	9749.6266645771
565.64614716981	9934.6250821018
563.51965789474	10225.185898834
561.40909737828	10981.341101006
559.31428731343	11889.819716741
557.23505204461	12983.270031649
555.17121851852	14298.231714608
553.12261623616	15873.417094040
551.08907720588	17745.996387316
549.07043589744	19943.158329387
547.06652919708	22465.783017628
545.07719636364	25271.916149327
543.10227898551	28250.624103087
541.14162093863	31213.338309646
539.19506834532	33907.887827651
537.26246953405	36025.515457939
535.34367500000	37383.826203199
533.43853736655	37967.851776520
531.54691134752	37963.379164434
529.66865371025	37707.221898843
527.80362323944	37617.470530886
525.95168070175	38144.375982902
524.11268881119	39738.722063449
522.28651219512	42729.707338918
520.47301736111	46861.208988698
518.67207266436	50474.842313490
516.88354827586	50869.053521402
515.10731615120	47033.622961960
513.34325000000	41242.327598941
511.59122525597	35936.080535621
509.85111904762	31901.451651306
508.12281016949	29058.935320682
506.40617905405	27138.844677754
504.70110774411	25898.328291109
503.00747986577	25158.687534320
501.32518060201	24791.337329801
499.65409666667	24696.849329963
497.99411627907	24790.727794306
496.34512913907	24997.466769315
494.70702640264	25311.594628301
493.07970065789	25609.326287985
491.46304590164	25794.333758085
489.85695751634	25823.175239372
488.26133224756	25677.147873380
486.67606818182	25378.780021865
485.10106472492	24969.978833984
483.53622258065	24514.355228498
481.98144372990	24080.842668061
480.43663141026	23735.619321306
478.90169009585	23547.992661570
477.37652547771	23589.442514389
475.86104444444	24207.906653573
474.35515506329	25387.889596866
472.85876656151	27110.151516848
471.37178930818	29420.806599954
469.89413479624	32192.920840043
468.42571562500	34990.819503271
466.96644548287	37100.291256582
465.51623913043	37976.737908056
464.07501238390	37675.700484581
462.64268209877	36708.906132965
461.21916615385	35557.687192634
459.80438343558	34444.551099077
458.39825382263	33343.527116424
457.00069817073	32391.639679364
455.61163829787	31791.789130438
454.23099696970	31608.312226680
452.85869788520	31857.736092056
451.49466566265	32514.142863819
450.13882582583	33544.708480985
448.79110479042	34908.943878265
447.45142985075	36554.993416177
446.11972916667	38406.073229413
444.79593175074	40365.345350357
443.47996745562	42286.537381952
442.17176696165	44133.460413488
440.87126176471	45665.948476584
439.57838416422	46575.848807514
438.29306725146	46827.387270123
437.01524489796	46502.564266708
435.74485174419	45762.166200787
434.48182318841	44780.086888720
433.22609537572	43708.548360276
431.97760518732	42656.578701818
430.73629022989	41688.119404304
429.50208882521	40833.364040396
428.27494000000	40097.703421232
427.05478347578	39514.124932762
425.84155965909	39144.327043393
424.63520963173	38990.265434605
423.43567514124	39061.730201445
422.24289859155	39365.615472044
421.05682303371	39888.103109712
419.87739215686	40609.909455506
418.70455027933	41499.629197944
417.53824233983	42521.559300299
416.37841388889	43631.185623199
415.22501108033	44774.520879945
414.07798066298	45887.299776521
412.93726997245	46991.544348984
411.80282692308	47988.330040406
410.67460000000	48528.528430507
409.55253825137	48616.716859865
408.43659128065	48331.029454086
407.32670923913	47787.625231558
406.22284281843	47103.465328288
405.12494324324	46372.617638597
404.03296226415	45669.624775321
402.94685215054	45051.982240106
401.86656568365	44552.339501995
400.79205614973	44198.874362760
399.72327733333	44010.898072315
