#Parameters = {R=200}
#"Wavelength / nm"	"Total RCS [pw] (R=200) [Magnitude / nm^2]"
#-------------------------------------------------------------
749.48114500000	176522.26330380
745.75238308458	195883.45753137
742.06053960396	215636.28296192
738.40506896552	236811.57576856
734.78543627451	261262.46359239
731.20111707317	291711.91157872
727.65159708738	331558.62380443
724.13637198068	380614.06394303
720.65494711538	423062.65271315
717.20683732057	425489.60041850
713.79156666667	381951.77894474
710.40866824645	328876.05577923
707.05768396226	290839.20091081
703.73816431925	271552.05424917
700.44966822430	272038.19135430
697.19176279070	292400.00480379
693.96402314815	290482.77592944
690.76603225806	262335.02654747
687.59738073394	244251.01847420
684.45766666667	235533.94206606
681.34649545455	231803.08860221
678.26347963801	230838.08848388
675.20823873874	231706.17742293
672.18039910314	234064.24364688
669.17959375000	237876.32460495
666.20546222222	243339.22342594
663.25765044248	250863.13760187
660.33581057269	261082.68160452
657.43960087719	274842.85339511
654.56868558952	293058.70250142
651.72273478261	316531.30206619
648.90142424242	345195.74838172
646.10443534483	376128.78397301
643.33145493562	405061.70809305
640.58217521368	427786.91534944
637.85629361702	442306.03350090
635.15351271186	449368.70327951
632.47354008439	451496.37100567
629.81608823529	452061.68319154
627.18087447699	454920.13325735
624.56762083333	459392.88180728
621.97605394191	443880.60985736
619.40590495868	414295.11385211
616.85690946502	395053.41324922
614.32880737705	385002.32063396
611.82134285714	380478.98671350
609.33426422764	373882.51172844
606.86732388664	366337.57204565
604.42027822581	360324.43856676
601.99288755020	355604.29644275
599.58491600000	351781.35681814
597.19613147410	348586.86992690
594.82630555556	345846.16327177
592.47521343874	343425.12645146
590.14263385827	341270.63765145
587.82834901961	339710.32854484
585.53214453125	338437.81006436
583.25380933852	337663.74131423
580.99313565891	337831.86188055
578.74991891892	339759.11181067
576.52395769231	344710.07138974
574.31505363985	353960.72136837
572.12301145038	367240.94585605
569.94763878327	380040.63448530
567.78874621212	384329.65543279
565.64614716981	375941.14383828
563.51965789474	358092.56282459
561.40909737828	333299.35446835
559.31428731343	308413.91970874
557.23505204461	285679.76346120
555.17121851852	267323.37016090
553.12261623616	253527.84458708
551.08907720588	243932.58709501
549.07043589744	238454.32237474
547.06652919708	236856.09221369
545.07719636364	238376.19993452
543.10227898551	241963.03307887
541.14162093863	246441.62312930
539.19506834532	250692.46104821
537.26246953405	254135.73032092
535.34367500000	255480.11815495
533.43853736655	254028.32046837
531.54691134752	249523.66002306
529.66865371025	242137.68834336
527.80362323944	232447.78851221
525.95168070175	221368.30294024
524.11268881119	209994.97868529
522.28651219512	199459.98716594
520.47301736111	190551.31457944
518.67207266436	182953.63648540
516.88354827586	174988.60860532
515.10731615120	164746.69385352
513.34325000000	153409.28145570
511.59122525597	143005.84690483
509.85111904762	134894.59943353
508.12281016949	129901.34417616
506.40617905405	128705.89259667
504.70110774411	131847.94180341
503.00747986577	139470.08768013
501.32518060201	151119.24785699
499.65409666667	165722.97101908
497.99411627907	181897.66511745
496.34512913907	198345.26110612
494.70702640264	214697.05175420
493.07970065789	229218.43899883
491.46304590164	240448.74238741
489.85695751634	247226.11061483
488.26133224756	249155.14305017
486.67606818182	247334.62084487
485.10106472492	243902.96177880
483.53622258065	240681.96229242
481.98144372990	238480.71017385
480.43663141026	237296.25884061
478.90169009585	236882.61976738
477.37652547771	237133.46569118
475.86104444444	237666.22824141
474.35515506329	238931.59576449
472.85876656151	241189.60555165
471.37178930818	244416.00860473
469.89413479624	248295.65441455
468.42571562500	252133.48449162
466.96644548287	255033.15853814
465.51623913043	256255.30830435
464.07501238390	255537.19891236
462.64268209877	253085.09596785
461.21916615385	249371.23608805
459.80438343558	244919.05780701
458.39825382263	240023.30347126
457.00069817073	234984.28329148
455.61163829787	230133.04281234
454.23099696970	225516.65011403
452.85869788520	221047.17943242
451.49466566265	216521.62034786
450.13882582583	211820.44815088
448.79110479042	206851.82706292
447.45142985075	201637.09360954
446.11972916667	196266.32021367
444.79593175074	190855.67338559
443.47996745562	185535.96790700
442.17176696165	180082.29348187
440.87126176471	174846.93148800
439.57838416422	170723.66831325
438.29306725146	168209.76374947
437.01524489796	167605.54717643
435.74485174419	168843.41082431
434.48182318841	171515.17067589
433.22609537572	174964.37639113
431.97760518732	178520.72367706
430.73629022989	181658.11487360
429.50208882521	184050.82243717
428.27494000000	185656.78285663
427.05478347578	186618.43653851
425.84155965909	187193.46664121
424.63520963173	187758.79054149
423.43567514124	188649.28393326
422.24289859155	190035.62320315
421.05682303371	191939.41955494
419.87739215686	194236.36056035
418.70455027933	196669.88849507
417.53824233983	198972.76103549
416.37841388889	200893.83082286
415.22501108033	202289.46083995
414.07798066298	203103.33456042
412.93726997245	203213.80173332
411.80282692308	202396.45392881
410.67460000000	201021.25543248
409.55253825137	199285.28830717
408.43659128065	197375.93833836
407.32670923913	195480.05659701
406.22284281843	193753.62736548
405.12494324324	192327.17714055
404.03296226415	191270.86164195
402.94685215054	190592.25263675
401.86656568365	190238.24459082
400.79205614973	190128.02142719
399.72327733333	190222.56814752
