#Parameters = {R=90}
#"Wavelength / nm"	"Total ACS [pw] (R=90) [Magnitude / nm^2]"
#------------------------------------------------------------
749.48114500000	3140.6282126470
745.75238308458	3458.1631379531
742.06053960396	3799.2505004044
738.40506896552	4159.4614238788
734.78543627451	4533.1627977364
731.20111707317	4910.2913999902
727.65159708738	5301.3509928772
724.13637198068	5695.3860907437
720.65494711538	6047.4569868160
717.20683732057	6337.8187500442
713.79156666667	6550.7767057178
710.40866824645	6676.2967585603
707.05768396226	6712.0590908516
703.73816431925	6663.2992489343
700.44966822430	6541.4793705035
697.19176279070	6361.8334375927
693.96402314815	6140.8047831982
690.76603225806	5894.0355151061
687.59738073394	5632.3810764260
684.45766666667	5364.6421784965
681.34649545455	5103.6858439998
678.26347963801	4855.3215319468
675.20823873874	4623.2266251587
672.18039910314	4409.5509789060
669.17959375000	4214.9004879608
666.20546222222	4039.3756725957
663.25765044248	3882.4047102853
660.33581057269	3742.9749625856
657.43960087719	3620.2765010238
654.56868558952	3513.0121292208
651.72273478261	3433.2569567016
648.90142424242	3399.2785231855
646.10443534483	3374.8908529583
643.33145493562	3359.8816420693
640.58217521368	3354.0031451968
637.85629361702	3357.0524839605
635.15351271186	3368.8149783613
632.47354008439	3389.2140749503
629.81608823529	3417.9116788426
627.18087447699	3455.0575914749
624.56762083333	3500.6131110138
621.97605394191	3554.3966741655
619.40590495868	3622.0177850602
616.85690946502	3720.7116078360
614.32880737705	3828.2713873693
611.82134285714	3945.1033104261
609.33426422764	4071.7180655665
606.86732388664	4208.3524839060
604.42027822581	4355.7224548962
601.99288755020	4514.3053979049
599.58491600000	4684.8362704893
597.19613147410	4867.9088130541
594.82630555556	5064.4434712515
592.47521343874	5275.2682328102
590.14263385827	5493.0550155804
587.82834901961	5658.8995635697
585.53214453125	5840.4002380285
583.25380933852	6039.3911940556
580.99313565891	6257.5975219120
578.74991891892	6497.3151143543
576.52395769231	6761.5174205891
574.31505363985	7054.2215264877
572.12301145038	7380.3663113368
569.94763878327	7746.6962505657
567.78874621212	8162.2041230163
565.64614716981	8638.7510257426
563.51965789474	9204.9036227464
561.40909737828	10209.169365332
559.31428731343	11394.168683044
557.23505204461	12815.896238196
555.17121851852	14550.618602130
553.12261623616	16697.605850822
551.08907720588	19378.893711210
549.07043589744	22721.382903726
547.06652919708	26807.507184215
545.07719636364	31556.217990129
543.10227898551	36536.746905008
541.14162093863	40841.915710489
539.19506834532	43327.271854156
537.26246953405	43170.964771279
535.34367500000	40610.116254792
533.43853736655	36745.474587375
531.54691134752	32632.642030197
529.66865371025	28876.682907629
527.80362323944	25690.174387814
525.95168070175	23075.189396734
524.11268881119	20954.861415931
522.28651219512	19236.054737183
520.47301736111	17835.861168476
518.67207266436	16686.426825062
516.88354827586	15735.540389661
515.10731615120	14921.224249712
513.34325000000	14242.155321097
511.59122525597	13678.685672938
509.85111904762	13212.363513760
508.12281016949	12830.379769427
506.40617905405	12523.769680260
504.70110774411	12286.703236469
503.00747986577	12115.870192609
501.32518060201	12010.269248039
499.65409666667	11970.957801389
497.99411627907	12001.043316997
496.34512913907	12105.578349302
494.70702640264	12333.800463385
493.07970065789	12680.899578927
491.46304590164	13149.743038458
489.85695751634	13761.307274355
488.26133224756	14541.778776981
486.67606818182	15522.746306293
485.10106472492	16740.673211657
483.53622258065	18235.793419100
481.98144372990	20046.611550711
480.43663141026	22200.895784227
478.90169009585	24698.864753336
477.37652547771	27488.172673372
475.86104444444	30767.385830274
474.35515506329	34036.207280723
472.85876656151	36762.643959121
471.37178930818	38640.367280309
469.89413479624	39569.571753239
468.42571562500	39699.276246710
466.96644548287	39343.064984367
465.51623913043	38836.579905030
464.07501238390	38408.826916815
462.64268209877	38101.476036873
461.21916615385	37753.807716207
459.80438343558	37104.518048424
458.39825382263	35890.649324085
457.00069817073	34149.833362427
455.61163829787	32256.576889912
454.23099696970	30516.446768913
452.85869788520	29092.907122246
451.49466566265	28025.270753380
450.13882582583	27284.403708822
448.79110479042	26812.914181696
447.45142985075	26544.367153109
446.11972916667	26410.700017996
444.79593175074	26347.079813288
443.47996745562	26293.858574498
442.17176696165	26208.345892919
440.87126176471	26034.768376701
439.57838416422	25736.955399450
438.29306725146	25320.189894534
437.01524489796	24811.918483348
435.74485174419	24253.197822058
434.48182318841	23689.794476121
433.22609537572	23165.559686171
431.97760518732	22718.338880587
430.73629022989	22378.198847185
429.50208882521	22167.085359895
428.27494000000	22097.910136041
427.05478347578	22216.278289070
425.84155965909	22551.772595024
424.63520963173	22968.684702032
423.43567514124	23383.672466310
422.24289859155	23724.948173035
421.05682303371	23972.272905144
419.87739215686	24158.647290824
418.70455027933	24345.851593156
417.53824233983	24595.692923375
416.37841388889	24957.065986169
415.22501108033	25457.494543258
414.07798066298	26106.718123298
412.93726997245	27007.057287546
411.80282692308	28270.631513566
410.67460000000	29591.003657694
409.55253825137	30864.498145156
408.43659128065	31982.176009373
407.32670923913	32853.547142184
406.22284281843	33426.427894075
405.12494324324	33698.043380878
404.03296226415	33708.151135733
402.94685215054	33523.702917080
401.86656568365	33219.307205730
400.79205614973	32863.524133378
399.72327733333	32510.543512486
