#Parameters = {R=180}
#"Wavelength / nm"	"Total RCS [pw] (R=180) [Magnitude / nm^2]"
#-------------------------------------------------------------
749.48114500000	262582.67263518
745.75238308458	207500.92886192
742.06053960396	163194.79867726
738.40506896552	132264.78187089
734.78543627451	110674.33127699
731.20111707317	95109.593837017
727.65159708738	83456.881079236
724.13637198068	74708.842751117
720.65494711538	68473.935356195
717.20683732057	64536.420928205
713.79156666667	62920.759744093
710.40866824645	63791.608879972
707.05768396226	67350.499684387
703.73816431925	73713.150341401
700.44966822430	82785.715284032
697.19176279070	94186.344651750
693.96402314815	107266.49560826
690.76603225806	121247.73217461
687.59738073394	135600.49745942
684.45766666667	149973.40260074
681.34649545455	164002.50646510
678.26347963801	178066.74994551
675.20823873874	193031.16185649
672.18039910314	210316.74460124
669.17959375000	231989.80542808
666.20546222222	260451.41483760
663.25765044248	295910.05128585
660.33581057269	328159.05456282
657.43960087719	332425.01369849
654.56868558952	301642.62750513
651.72273478261	261913.46221289
648.90142424242	232488.91911652
646.10443534483	217132.07410104
643.33145493562	214747.19838674
640.58217521368	223917.04925360
637.85629361702	223426.34826216
635.15351271186	209003.73064283
632.47354008439	199270.27279300
629.81608823529	194721.25099386
627.18087447699	193053.46463267
624.56762083333	193071.85638351
621.97605394191	194253.88900562
619.40590495868	196407.19615777
616.85690946502	199552.77510823
614.32880737705	203817.05683841
611.82134285714	209460.79697869
609.33426422764	216880.92115759
606.86732388664	226591.92574733
604.42027822581	239141.29075085
601.99288755020	254877.24499697
599.58491600000	273553.25991143
597.19613147410	293932.95954796
594.82630555556	313742.02395212
592.47521343874	330404.62692910
590.14263385827	342334.69235381
587.82834901961	350178.49339639
585.53214453125	353120.35562808
583.25380933852	352738.65094771
580.99313565891	350792.09115196
578.74991891892	348783.58669306
576.52395769231	345954.41368582
574.31505363985	336130.67597001
572.12301145038	321800.98334553
569.94763878327	311311.45447090
567.78874621212	304846.54446319
565.64614716981	300819.51843307
563.51965789474	296558.15622504
561.40909737828	291171.46509396
559.31428731343	286582.39494912
557.23505204461	282686.02636063
555.17121851852	279273.64341798
553.12261623616	276142.73104566
551.08907720588	273180.64197553
549.07043589744	270273.00514873
547.06652919708	267339.84014588
545.07719636364	264352.11800638
543.10227898551	261327.04435161
541.14162093863	258386.13082961
539.19506834532	255762.22324911
537.26246953405	254009.81365782
535.34367500000	253547.11471364
533.43853736655	254647.56033054
531.54691134752	256547.29031663
529.66865371025	256927.96574194
527.80362323944	253049.20622450
525.95168070175	244092.37922622
524.11268881119	231541.27240082
522.28651219512	217536.65251755
520.47301736111	203720.75238672
518.67207266436	191282.47437468
516.88354827586	181101.62426169
515.10731615120	173233.81146457
513.34325000000	168509.08239070
511.59122525597	166943.39652000
509.85111904762	168182.40059677
508.12281016949	171557.47159680
506.40617905405	176252.26174608
504.70110774411	181370.13738950
503.00747986577	186052.37382967
501.32518060201	189496.81182582
499.65409666667	191084.67068609
497.99411627907	190392.15517409
496.34512913907	187309.54573864
494.70702640264	181537.84575708
493.07970065789	173753.03252894
491.46304590164	164959.90233588
489.85695751634	156067.02150778
488.26133224756	147818.17876264
486.67606818182	140538.88182282
485.10106472492	133995.58245608
483.53622258065	127756.20678488
481.98144372990	121822.44418793
480.43663141026	116710.27778193
478.90169009585	113026.93874080
477.37652547771	111297.96655109
475.86104444444	112169.88322025
474.35515506329	116071.19546556
472.85876656151	122695.91208625
471.37178930818	131350.13131653
469.89413479624	141096.71176886
468.42571562500	151022.23549447
466.96644548287	160380.41332894
465.51623913043	168686.86910633
464.07501238390	175625.04412533
462.64268209877	180989.85287991
461.21916615385	184676.75968377
459.80438343558	186779.58635892
458.39825382263	187872.84050796
457.00069817073	188252.75007650
455.61163829787	188275.27797193
454.23099696970	188304.64749133
452.85869788520	188477.18102367
451.49466566265	188816.76242725
450.13882582583	189308.66878607
448.79110479042	189957.53465107
447.45142985075	190725.13561635
446.11972916667	191534.10489533
444.79593175074	192253.90328114
443.47996745562	192661.45383247
442.17176696165	192409.12481353
440.87126176471	191180.80778296
439.57838416422	189045.01077271
438.29306725146	186245.56902808
437.01524489796	183091.39117826
435.74485174419	179848.23390308
434.48182318841	176655.04306166
433.22609537572	173534.48282026
431.97760518732	170431.18055623
430.73629022989	167230.91332967
429.50208882521	163859.27585195
428.27494000000	160262.46470293
427.05478347578	156126.81109683
425.84155965909	151350.17533330
424.63520963173	146745.66017462
423.43567514124	142598.41521418
422.24289859155	139209.36069480
421.05682303371	136863.64954242
419.87739215686	135769.57780551
418.70455027933	135995.86137223
417.53824233983	137444.73745825
416.37841388889	139845.42476243
415.22501108033	142837.23665628
414.07798066298	146018.66597070
412.93726997245	149277.53756897
411.80282692308	152423.34628342
410.67460000000	154863.65598245
409.55253825137	156707.01614589
408.43659128065	158148.41064106
407.32670923913	159334.09411173
406.22284281843	160345.42845113
405.12494324324	161202.84959142
404.03296226415	161881.66319703
402.94685215054	162349.21894163
401.86656568365	162576.37606949
400.79205614973	162553.72179472
399.72327733333	162221.79927143
