#Parameters = {R=90}
#"Wavelength / nm"	"Total RCS [pw] (R=90) [Magnitude / nm^2]"
#------------------------------------------------------------
749.48114500000	100242.55523378
745.75238308458	108048.36751172
742.06053960396	116484.44836499
738.40506896552	125481.12007184
734.78543627451	134905.53647103
731.20111707317	144552.31119594
727.65159708738	154218.70750542
724.13637198068	163534.70139490
720.65494711538	171975.70440185
717.20683732057	179120.05274518
713.79156666667	184613.49870235
710.40866824645	188228.12615141
707.05768396226	189899.23974482
703.73816431925	189727.90467048
700.44966822430	187951.03228708
697.19176279070	184890.25766707
693.96402314815	180897.29514722
690.76603225806	176308.40995655
687.59738073394	171364.03551951
684.45766666667	166261.93721019
681.34649545455	161267.78577416
678.26347963801	156511.34387128
675.20823873874	152074.20147180
672.18039910314	148000.23190764
669.17959375000	144307.80080019
666.20546222222	140995.50596850
663.25765044248	138050.95053170
660.33581057269	135453.75284294
657.43960087719	133179.72896568
654.56868558952	131202.90478890
651.72273478261	129466.14520658
648.90142424242	127907.13281061
646.10443534483	126588.14113417
643.33145493562	125482.52096570
640.58217521368	124565.69638957
637.85629361702	123814.85505433
635.15351271186	123208.94483677
632.47354008439	122728.42480553
629.81608823529	122355.43066005
627.18087447699	122072.87546741
624.56762083333	121864.89560582
621.97605394191	121716.95808938
619.40590495868	121608.98924429
616.85690946502	121510.66093054
614.32880737705	121432.17604172
611.82134285714	121360.00288117
609.33426422764	121280.97859122
606.86732388664	121182.42814735
604.42027822581	121051.72457303
601.99288755020	120876.54386667
599.58491600000	120645.13513233
597.19613147410	120345.57820779
594.82630555556	119966.55626815
592.47521343874	119497.22592897
590.14263385827	118939.46033261
587.82834901961	118369.11455827
585.53214453125	117677.84667423
583.25380933852	116855.91547689
580.99313565891	115895.55530490
578.74991891892	114790.92709280
576.52395769231	113538.85297983
574.31505363985	112139.47308566
572.12301145038	110597.37300121
569.94763878327	108922.59591448
567.78874621212	107132.24772014
565.64614716981	105252.47587547
563.51965789474	103306.14663633
561.40909737828	100982.22910023
559.31428731343	98735.229874001
557.23505204461	96670.070660643
555.17121851852	94922.958185271
553.12261623616	93665.859303724
551.08907720588	93103.188202226
549.07043589744	93448.033798300
547.06652919708	94846.442263660
545.07719636364	97210.217915299
543.10227898551	99954.950645327
541.14162093863	101827.26295957
539.19506834532	101252.21709270
537.26246953405	97358.992534357
535.34367500000	90263.387379694
533.43853736655	81514.253463268
531.54691134752	72627.632055722
529.66865371025	64483.236859831
527.80362323944	57399.998287633
525.95168070175	51391.117411225
524.11268881119	46349.237435205
522.28651219512	42139.921632178
520.47301736111	38637.226891994
518.67207266436	35734.477310270
516.88354827586	33344.250031841
515.10731615120	31291.185080536
513.34325000000	29642.235006000
511.59122525597	28365.540988809
509.85111904762	27415.455220837
508.12281016949	26754.316872761
506.40617905405	26350.822595515
504.70110774411	26179.235344568
503.00747986577	26218.341280896
501.32518060201	26451.253787407
499.65409666667	26864.845440379
497.99411627907	27449.471229438
496.34512913907	28199.192314953
494.70702640264	29137.977302408
493.07970065789	30266.188693995
491.46304590164	31579.136717930
489.85695751634	33082.779201759
488.26133224756	34785.020325834
486.67606818182	36693.843802033
485.10106472492	38813.318349073
483.53622258065	41137.975746105
481.98144372990	43641.867929942
480.43663141026	46262.705345542
478.90169009585	48882.736219443
477.37652547771	51307.234795132
475.86104444444	52967.542259353
474.35515506329	53468.587673709
472.85876656151	52639.127380169
471.37178930818	50473.100580316
469.89413479624	47266.284598239
468.42571562500	43510.670060763
466.96644548287	39703.556111333
465.51623913043	36206.898082629
464.07501238390	33205.594038499
462.64268209877	30739.040358166
461.21916615385	28754.475208665
459.80438343558	27162.241237003
458.39825382263	25821.699110385
457.00069817073	24734.942780798
455.61163829787	23934.167214618
454.23099696970	23411.309826959
452.85869788520	23161.622775546
451.49466566265	23183.482837846
450.13882582583	23480.440993157
448.79110479042	24060.912086990
447.45142985075	24934.009465652
446.11972916667	26103.289315422
444.79593175074	27560.459111953
443.47996745562	29279.173969258
442.17176696165	31355.857640192
440.87126176471	33753.335369121
439.57838416422	36214.532286278
438.29306725146	38626.828872707
437.01524489796	40896.246090113
435.74485174419	42957.860824112
434.48182318841	44778.475128592
433.22609537572	46351.513768948
431.97760518732	47689.696366241
430.73629022989	48816.147444913
429.50208882521	49758.989627805
428.27494000000	50545.432240514
427.05478347578	51203.958737502
425.84155965909	51734.077361036
424.63520963173	52142.217738018
423.43567514124	52445.955427425
422.24289859155	52663.991228658
421.05682303371	52812.392846998
419.87739215686	52903.855764847
418.70455027933	52947.208650298
417.53824233983	52946.294265479
416.37841388889	52900.560913659
415.22501108033	52810.578661775
414.07798066298	52675.603638191
412.93726997245	52426.260976771
411.80282692308	51969.688687645
410.67460000000	51455.182719815
409.55253825137	50887.862094135
408.43659128065	50274.441791074
407.32670923913	49621.889453109
406.22284281843	48938.747181570
405.12494324324	48240.199008670
404.03296226415	47547.580982976
402.94685215054	46884.606364728
401.86656568365	46274.101250583
400.79205614973	45730.214298772
399.72327733333	45194.547010247
