#Parameters = {R=120}
#"Wavelength / nm"	"Total ACS [pw] (R=120) [Magnitude / nm^2]"
#-------------------------------------------------------------
749.48114500000	3065.6365721479
745.75238308458	3190.9554400115
742.06053960396	3325.7799546903
738.40506896552	3474.7236198510
734.78543627451	3637.3293562752
731.20111707317	3815.9849923091
727.65159708738	4029.5211808774
724.13637198068	4285.7896099752
720.65494711538	4570.4651500258
717.20683732057	4889.2335191756
713.79156666667	5249.4227835921
710.40866824645	5660.7272469984
707.05768396226	6136.2438400666
703.73816431925	6693.8921619123
700.44966822430	7358.0561710840
697.19176279070	8162.2485521181
693.96402314815	9152.5137312426
690.76603225806	10391.176461726
687.59738073394	11978.628294510
684.45766666667	14045.801585411
681.34649545455	16679.373748575
678.26347963801	19926.897062900
675.20823873874	23628.198847768
672.18039910314	27212.308604472
669.17959375000	29679.239305426
666.20546222222	30128.702789204
663.25765044248	28521.883125316
660.33581057269	25672.617221650
657.43960087719	22515.688725160
654.56868558952	19618.487709822
651.72273478261	17228.721052229
648.90142424242	15409.022772087
646.10443534483	13967.750597517
643.33145493562	12830.200878098
640.58217521368	11929.702135659
637.85629361702	11213.531618710
635.15351271186	10642.008279666
632.47354008439	10185.931566752
629.81608823529	9824.1124588325
627.18087447699	9541.6443816627
624.56762083333	9327.9825897934
621.97605394191	9176.3411814591
619.40590495868	9095.4214335418
616.85690946502	9122.9511287462
614.32880737705	9206.6125343539
611.82134285714	9350.2857504499
609.33426422764	9560.0627146516
606.86732388664	9844.0522575039
604.42027822581	10213.165861359
601.99288755020	10680.550075226
599.58491600000	11262.678789183
597.19613147410	11979.357135956
594.82630555556	12853.651277138
592.47521343874	13911.363836577
590.14263385827	15159.293039823
587.82834901961	16476.732585010
585.53214453125	18038.858780766
583.25380933852	19843.359819605
580.99313565891	21854.809545725
578.74991891892	23988.786094802
576.52395769231	26100.436397372
574.31505363985	27993.041847023
572.12301145038	29459.793398871
569.94763878327	30351.396793337
567.78874621212	30642.331157211
565.64614716981	30456.830755908
563.51965789474	30075.409855708
561.40909737828	30609.551462140
559.31428731343	31702.055700629
557.23505204461	33937.687856983
555.17121851852	38053.436907441
553.12261623616	44658.511995135
551.08907720588	52777.703030265
549.07043589744	57686.273607998
547.06652919708	54879.220190074
545.07719636364	47258.406053863
543.10227898551	39783.934137233
541.14162093863	34206.632235846
539.19506834532	30403.299826414
537.26246953405	27652.365829518
535.34367500000	25880.155150558
533.43853736655	24801.864055021
531.54691134752	24222.206978846
529.66865371025	24008.055353798
527.80362323944	24060.578975572
525.95168070175	24296.260922715
524.11268881119	24638.474918477
522.28651219512	25011.442095820
520.47301736111	25343.800120469
518.67207266436	25575.946204002
516.88354827586	25667.788062515
515.10731615120	25617.752275596
513.34325000000	25415.405547015
511.59122525597	25106.114406987
509.85111904762	24758.829875518
508.12281016949	24453.500664209
506.40617905405	24276.224867443
504.70110774411	24319.355421966
503.00747986577	24687.147865671
501.32518060201	25509.796210449
499.65409666667	26957.618308157
497.99411627907	29245.613805614
496.34512913907	32602.797348977
494.70702640264	37393.797568224
493.07970065789	42923.405245385
491.46304590164	47239.342218491
489.85695751634	48316.992396829
488.26133224756	46306.013740548
486.67606818182	43224.059232230
485.10106472492	40579.011509031
483.53622258065	38490.247347595
481.98144372990	36393.269590716
480.43663141026	34141.704191910
478.90169009585	32125.698296993
477.37652547771	30678.549791056
475.86104444444	30153.314350075
474.35515506329	30416.253899094
472.85876656151	31252.650329790
471.37178930818	32584.818773200
469.89413479624	34360.038012484
468.42571562500	36525.985355033
466.96644548287	39008.732016696
465.51623913043	41700.441042000
464.07501238390	44436.461536403
462.64268209877	47003.628124292
461.21916615385	49169.680772717
459.80438343558	50739.245345152
458.39825382263	51614.302989783
457.00069817073	51700.381124209
455.61163829787	51116.420046613
454.23099696970	50097.611283143
452.85869788520	48877.880893861
451.49466566265	47638.926472184
450.13882582583	46493.268951458
448.79110479042	45482.382627604
447.45142985075	44585.425394308
446.11972916667	43765.390919487
444.79593175074	42996.675500393
443.47996745562	42295.749590146
442.17176696165	41707.765716668
440.87126176471	41320.832124426
439.57838416422	41199.656349915
438.29306725146	41368.429718641
437.01524489796	41826.862400430
435.74485174419	42566.473912898
434.48182318841	43574.050643124
433.22609537572	44831.543362411
431.97760518732	46312.377296501
430.73629022989	47982.329898202
429.50208882521	49786.154958137
428.27494000000	51631.376751318
427.05478347578	53527.826748208
425.84155965909	55292.170824278
424.63520963173	56435.897332972
423.43567514124	56886.227331228
422.24289859155	56729.310668396
421.05682303371	56149.896539681
419.87739215686	55341.170379807
418.70455027933	54445.060244433
417.53824233983	53573.582756381
416.37841388889	52798.599816217
415.22501108033	52172.441512153
414.07798066298	51746.299135738
412.93726997245	51589.489314982
411.80282692308	51824.891886386
410.67460000000	52334.264181545
409.55253825137	53000.626824755
408.43659128065	53687.243872550
407.32670923913	54256.849138932
406.22284281843	54624.271896693
405.12494324324	54761.453612091
404.03296226415	54690.192611436
402.94685215054	54457.323375532
401.86656568365	54116.902463631
400.79205614973	53706.003274983
399.72327733333	53221.913128719
