#Parameters = {R=100}
#"Wavelength / nm"	"Total ACS [pw] (R=100) [Magnitude / nm^2]"
#-------------------------------------------------------------
749.48114500000	4659.2897233132
745.75238308458	4440.5989152809
742.06053960396	4228.8892438112
738.40506896552	4027.8146479208
734.78543627451	3838.5792515354
731.20111707317	3665.3448037118
727.65159708738	3518.8864237922
724.13637198068	3399.3400908772
720.65494711538	3293.2186735671
717.20683732057	3199.8901902506
713.79156666667	3119.0393542049
710.40866824645	3049.9796327320
707.05768396226	2992.1585459727
703.73816431925	2945.0546292444
700.44966822430	2908.0811261764
697.19176279070	2880.6801183863
693.96402314815	2862.5479515238
690.76603225806	2852.6962110160
687.59738073394	2851.1802836520
684.45766666667	2857.7915627786
681.34649545455	2872.5757602470
678.26347963801	2895.3250370225
675.20823873874	2925.9828584030
672.18039910314	2964.4027824302
669.17959375000	3010.5455573932
666.20546222222	3064.4453926176
663.25765044248	3126.1872209105
660.33581057269	3195.8571691246
657.43960087719	3273.6685208322
654.56868558952	3359.8310679518
651.72273478261	3469.6247304626
648.90142424242	3629.2256012712
646.10443534483	3800.8899261770
643.33145493562	3985.4066791554
640.58217521368	4184.1611561695
637.85629361702	4398.4457328465
635.15351271186	4629.4672894994
632.47354008439	4879.5686719802
629.81608823529	5151.0378904291
627.18087447699	5446.7048108426
624.56762083333	5770.1955897450
621.97605394191	6126.0766743680
619.40590495868	6531.2211982296
616.85690946502	7031.4503601042
614.32880737705	7595.0050352238
611.82134285714	8236.9617546471
609.33426422764	8978.4528185764
606.86732388664	9847.2501411783
604.42027822581	10881.366958643
601.99288755020	12132.766343571
599.58491600000	13671.738573166
597.19613147410	15590.347123831
594.82630555556	18005.288554105
592.47521343874	21046.994795516
590.14263385827	24804.591135429
587.82834901961	29158.313157382
585.53214453125	33890.311563634
583.25380933852	38082.103440803
580.99313565891	40391.034370821
578.74991891892	39898.090755284
576.52395769231	36927.397765561
574.31505363985	32699.241072771
572.12301145038	28356.880393323
569.94763878327	24506.595735524
567.78874621212	21321.400640566
565.64614716981	18762.181913104
563.51965789474	16739.819105832
561.40909737828	15534.925364481
559.31428731343	14585.406249459
557.23505204461	13831.928212962
555.17121851852	13230.591707695
553.12261623616	12749.899724096
551.08907720588	12366.870069655
549.07043589744	12065.486876238
547.06652919708	11834.472924308
545.07719636364	11666.885077650
543.10227898551	11557.734510279
541.14162093863	11505.155579157
539.19506834532	11509.147934003
537.26246953405	11501.723189807
535.34367500000	11560.879934870
533.43853736655	11695.751227675
531.54691134752	11913.638387430
529.66865371025	12226.650364019
527.80362323944	12646.626588883
525.95168070175	13191.404938731
524.11268881119	13882.664718181
522.28651219512	14745.363726164
520.47301736111	15810.571336693
518.67207266436	17111.801545981
516.88354827586	18684.711049091
515.10731615120	20661.449409241
513.34325000000	23015.997302393
511.59122525597	25718.209726646
509.85111904762	28695.480739270
508.12281016949	31783.097612689
506.40617905405	34719.860883090
504.70110774411	37184.582097434
503.00747986577	38895.573601094
501.32518060201	39725.926601226
499.65409666667	39769.717425243
497.99411627907	39316.969107813
496.34512913907	38758.580789397
494.70702640264	38570.622371153
493.07970065789	39120.118425601
491.46304590164	40528.231816155
489.85695751634	42350.092769498
488.26133224756	43343.034565281
486.67606818182	42247.723916912
485.10106472492	39205.336189451
483.53622258065	35483.731206386
481.98144372990	32113.696688845
480.43663141026	29470.825130507
478.90169009585	27552.112399286
477.37652547771	26235.356112770
475.86104444444	25616.667816620
474.35515506329	25473.483907298
472.85876656151	25592.339291067
471.37178930818	25875.067983772
469.89413479624	26233.896020827
468.42571562500	26588.546844738
466.96644548287	26872.211144069
465.51623913043	27035.921457290
464.07501238390	27053.822328260
462.64268209877	26927.235119675
461.21916615385	26677.732624815
459.80438343558	26344.359923913
458.39825382263	25902.952441260
457.00069817073	25424.854886414
455.61163829787	25018.464711556
454.23099696970	24742.993260077
452.85869788520	24646.402046302
451.49466566265	24770.684608929
450.13882582583	25146.962982769
448.79110479042	25787.094418774
447.45142985075	26659.902997042
446.11972916667	27666.029887202
444.79593175074	28636.497103686
443.47996745562	29369.506518214
442.17176696165	29737.237711655
440.87126176471	29686.885497637
439.57838416422	29359.011215240
438.29306725146	28952.966266458
437.01524489796	28618.913455575
435.74485174419	28459.697378249
434.48182318841	28544.982769242
433.22609537572	28900.615624159
431.97760518732	29532.905638959
430.73629022989	30430.785636712
429.50208882521	31563.464768924
428.27494000000	32889.254097449
427.05478347578	34480.899786577
425.84155965909	36321.828789096
424.63520963173	38000.588330583
423.43567514124	39350.241968911
422.24289859155	40243.448581426
421.05682303371	40644.631998913
419.87739215686	40594.531481868
418.70455027933	40197.294144279
417.53824233983	39579.802129588
416.37841388889	38857.667767272
415.22501108033	38123.951186460
414.07798066298	37443.086746618
412.93726997245	36863.895184206
411.80282692308	36471.384418350
410.67460000000	36277.981138532
409.55253825137	36289.247514176
408.43659128065	36490.009391848
407.32670923913	36848.504234228
406.22284281843	37334.936368926
405.12494324324	37905.855251832
404.03296226415	38517.057375306
402.94685215054	39120.624480867
401.86656568365	39671.300854154
400.79205614973	40127.170063090
399.72327733333	40473.258530222
