#Parameters = {R=140}
#"Wavelength / nm"	"Total ACS [pw] (R=140) [Magnitude / nm^2]"
#-------------------------------------------------------------
749.48114500000	19695.165549107
745.75238308458	17425.947272023
742.06053960396	15328.246797828
738.40506896552	13549.188210423
734.78543627451	12100.742201184
731.20111707317	10940.191876696
727.65159708738	10040.025138328
724.13637198068	9351.2346884565
720.65494711538	8803.7499135940
717.20683732057	8368.7033031594
713.79156666667	8025.3440586179
710.40866824645	7758.7400961411
707.05768396226	7558.1860619972
703.73816431925	7416.6283957316
700.44966822430	7329.8206171540
697.19176279070	7295.9322840996
693.96402314815	7315.0073621203
690.76603225806	7389.0166563008
687.59738073394	7522.2686187376
684.45766666667	7723.1497293491
681.34649545455	7999.6669330572
678.26347963801	8362.1729471835
675.20823873874	8823.3425797233
672.18039910314	9397.9636984669
669.17959375000	10102.439687676
666.20546222222	10953.363214324
663.25765044248	11965.014276541
660.33581057269	13144.779760781
657.43960087719	14486.353063248
654.56868558952	15960.876433392
651.72273478261	17589.646268954
648.90142424242	19428.870253762
646.10443534483	21139.990834876
643.33145493562	22584.626628093
640.58217521368	23670.888141266
637.85629361702	24396.730996825
635.15351271186	24867.675297695
632.47354008439	25290.997996697
629.81608823529	25968.950985415
627.18087447699	27324.389334628
624.56762083333	29989.684219383
621.97605394191	34940.980504930
619.40590495868	43454.543159106
616.85690946502	55277.327401078
614.32880737705	62517.088470444
611.82134285714	57212.593557166
609.33426422764	46010.477514915
606.86732388664	36636.677792247
604.42027822581	30371.549885052
601.99288755020	26385.361015711
599.58491600000	23865.403757329
597.19613147410	22294.453416181
594.82630555556	21364.156879213
592.47521343874	20888.809222636
590.14263385827	20715.410106768
587.82834901961	20532.009073365
585.53214453125	20561.143553767
583.25380933852	20728.130461576
580.99313565891	20959.425615985
578.74991891892	21182.682609384
576.52395769231	21332.819951499
574.31505363985	21363.085500192
572.12301145038	21255.008158649
569.94763878327	21022.497166829
567.78874621212	20712.307289227
565.64614716981	20394.447612615
563.51965789474	20178.202066836
561.40909737828	20748.751431065
559.31428731343	21648.554748086
557.23505204461	23079.843361219
555.17121851852	25339.121568152
553.12261623616	28867.856669890
551.08907720588	34304.645171176
549.07043589744	42350.723267964
547.06652919708	52931.260837587
545.07719636364	63181.230386804
543.10227898551	67386.234761809
541.14162093863	63700.747834862
539.19506834532	56845.953415367
537.26246953405	51099.133319243
535.34367500000	48700.199965901
533.43853736655	48676.730577273
531.54691134752	47344.509842216
529.66865371025	42827.412926895
527.80362323944	37746.146138695
525.95168070175	34014.044440214
524.11268881119	31743.487024054
522.28651219512	30583.470712672
520.47301736111	30240.785467673
518.67207266436	30540.906139907
516.88354827586	31384.093824274
515.10731615120	32824.611772833
513.34325000000	34810.963531135
511.59122525597	37307.653199813
509.85111904762	40263.171536258
508.12281016949	43560.541608913
506.40617905405	46974.054107430
504.70110774411	50159.975542507
503.00747986577	52707.056378930
501.32518060201	54263.923908964
499.65409666667	54690.096338205
497.99411627907	54115.959400629
496.34512913907	52868.746789333
494.70702640264	51344.708009817
493.07970065789	49915.725136715
491.46304590164	48908.729793078
489.85695751634	48540.193870488
488.26133224756	48775.032810883
486.67606818182	49050.914797781
485.10106472492	48467.083913652
483.53622258065	46860.370590275
481.98144372990	44894.690312329
480.43663141026	43039.370690560
478.90169009585	41417.328497024
477.37652547771	40144.924843635
475.86104444444	39675.829761328
474.35515506329	39882.849984583
472.85876656151	40564.444808385
471.37178930818	41678.916992294
469.89413479624	43205.291568059
468.42571562500	45151.037229201
466.96644548287	47517.280795480
465.51623913043	50323.338110155
464.07501238390	53573.474103950
462.64268209877	57228.552373747
461.21916615385	61178.221699071
459.80438343558	65176.619141126
458.39825382263	69033.263636018
457.00069817073	72139.830959076
455.61163829787	73908.134064484
454.23099696970	74282.090356351
452.85869788520	73600.751322262
451.49466566265	72351.787378060
450.13882582583	70926.651040440
448.79110479042	69564.468562535
447.45142985075	68351.448216678
446.11972916667	67359.974511414
444.79593175074	66623.957456405
443.47996745562	66170.042079748
442.17176696165	66061.256207893
440.87126176471	66402.404428087
439.57838416422	67200.211925957
438.29306725146	68407.085671847
437.01524489796	69903.185539059
435.74485174419	71510.751765239
434.48182318841	73029.942133784
433.22609537572	74259.517304739
431.97760518732	75093.866464782
430.73629022989	75513.847466842
429.50208882521	75539.781936922
428.27494000000	75252.993778034
427.05478347578	74682.180554679
425.84155965909	73849.823178433
424.63520963173	72893.251671051
423.43567514124	71945.887056450
422.24289859155	71074.044766293
421.05682303371	70267.197165744
419.87739215686	69472.075359414
418.70455027933	68653.104034742
417.53824233983	67810.247800714
416.37841388889	66990.454129588
415.22501108033	66249.618586035
414.07798066298	65653.359212879
412.93726997245	65266.173389822
411.80282692308	65194.399950711
410.67460000000	65299.638954315
409.55253825137	65564.477563525
408.43659128065	65954.913907541
407.32670923913	66460.218331871
406.22284281843	67059.627649260
405.12494324324	67722.555522037
404.03296226415	68380.035573025
402.94685215054	68959.664879277
401.86656568365	69399.645056868
400.79205614973	69669.738082921
399.72327733333	69781.956728904
