#Parameters = {R=30}
#"Wavelength / nm"	"Total RCS [pw] (R=30) [Magnitude / nm^2]"
#------------------------------------------------------------
749.48114500000	61.438565234828
745.75238308458	62.418769177355
742.06053960396	63.408462303226
738.40506896552	64.418463577435
734.78543627451	65.438788259930
731.20111707317	66.472143154188
727.65159708738	67.535844055630
724.13637198068	68.614235758842
720.65494711538	69.709067250966
717.20683732057	70.824528917279
713.79156666667	71.951316137274
710.40866824645	73.096156308881
707.05768396226	74.255707094447
703.73816431925	75.435178490969
700.44966822430	76.629142874034
697.19176279070	77.841736022449
693.96402314815	79.068905433823
690.76603225806	80.319728845553
687.59738073394	81.586613129666
684.45766666667	82.887601760293
681.34649545455	84.212928820296
678.26347963801	85.558094728973
675.20823873874	86.919418838013
672.18039910314	88.295851116382
669.17959375000	89.700496804751
666.20546222222	91.124217371338
663.25765044248	92.566538587826
660.33581057269	94.035035151344
657.43960087719	95.502850780508
654.56868558952	97.009720950662
651.72273478261	98.554533816352
648.90142424242	100.13168425407
646.10443534483	101.73174910302
643.33145493562	103.36100427253
640.58217521368	105.01216140798
637.85629361702	106.68547578928
635.15351271186	108.38973288118
632.47354008439	110.11469492258
629.81608823529	111.87352187100
627.18087447699	113.64854375535
624.56762083333	115.45865138998
621.97605394191	117.28277769457
619.40590495868	119.15393933117
616.85690946502	121.05671214946
614.32880737705	122.99215258893
611.82134285714	124.95537038823
609.33426422764	126.94650110397
606.86732388664	128.96787760900
604.42027822581	131.02856792263
601.99288755020	133.11376053058
599.58491600000	135.23239805567
597.19613147410	137.37644350659
594.82630555556	139.55731547153
592.47521343874	141.77074151017
590.14263385827	144.02633456326
587.82834901961	146.36205212976
585.53214453125	148.72648015562
583.25380933852	151.12871355100
580.99313565891	153.55949423190
578.74991891892	156.04359301203
576.52395769231	158.55504170803
574.31505363985	161.11079418468
572.12301145038	163.71078789419
569.94763878327	166.34427645787
567.78874621212	169.01942170790
565.64614716981	171.73468815218
563.51965789474	174.49792109769
561.40909737828	177.34508217133
559.31428731343	180.23307043591
557.23505204461	183.16677069757
555.17121851852	186.14834141932
553.12261623616	189.17746471025
551.08907720588	192.25522601065
549.07043589744	195.37657289057
547.06652919708	198.55426290666
545.07719636364	201.77347932950
543.10227898551	205.05030110651
541.14162093863	208.38114872121
539.19506834532	211.75910948208
537.26246953405	215.25931133256
535.34367500000	218.82024230589
533.43853736655	222.43913917988
531.54691134752	226.12133403951
529.66865371025	229.86236913518
527.80362323944	233.64947965327
525.95168070175	237.50531221604
524.11268881119	241.42857559839
522.28651219512	245.40832030827
520.47301736111	249.45793634445
518.67207266436	253.56598581080
516.88354827586	257.74381642198
515.10731615120	262.07584587051
513.34325000000	266.49895766545
511.59122525597	270.99180294508
509.85111904762	275.56044421075
508.12281016949	280.19911387167
506.40617905405	284.91838017586
504.70110774411	289.71336278702
503.00747986577	294.59091286482
501.32518060201	299.54792306154
499.65409666667	304.58616690589
497.99411627907	309.71423235681
496.34512913907	314.92440904182
494.70702640264	320.33008655936
493.07970065789	325.88160833149
491.46304590164	331.52438409629
489.85695751634	337.27122005774
488.26133224756	343.11309590365
486.67606818182	349.05435245412
485.10106472492	355.09442348266
483.53622258065	361.24064642374
481.98144372990	367.49238127937
480.43663141026	373.85489828263
478.90169009585	380.32657055269
477.37652547771	386.90819476904
475.86104444444	393.75061424514
474.35515506329	400.77709883389
472.85876656151	407.91853609535
471.37178930818	415.20737263850
469.89413479624	422.61711466202
468.42571562500	430.16062109678
466.96644548287	437.84047830961
465.51623913043	445.65920293451
464.07501238390	453.63074789754
462.64268209877	461.74403505876
461.21916615385	470.00189586986
459.80438343558	478.41874854946
458.39825382263	487.22053977439
457.00069817073	496.37603538169
455.61163829787	505.70602813212
454.23099696970	515.21260294488
452.85869788520	524.91221003761
451.49466566265	534.80201552122
450.13882582583	544.89421750952
448.79110479042	555.18781255889
447.45142985075	565.68743962091
446.11972916667	576.40379458177
444.79593175074	587.33720390139
443.47996745562	598.52691781080
442.17176696165	610.25879285314
440.87126176471	622.61238899850
439.57838416422	635.24575970156
438.29306725146	648.16939936582
437.01524489796	661.39745396000
435.74485174419	674.94316825776
434.48182318841	688.81785908380
433.22609537572	703.03389936326
431.97760518732	717.60550928863
430.73629022989	732.55151630543
429.50208882521	747.89595604501
428.27494000000	763.64327499848
427.05478347578	780.31219249176
425.84155965909	798.35634444797
424.63520963173	816.96259925216
423.43567514124	836.17233876843
422.24289859155	856.01427085166
421.05682303371	876.53117368386
419.87739215686	897.76497265527
418.70455027933	919.76966680210
417.53824233983	942.60689977226
416.37841388889	966.31361328205
415.22501108033	990.96904500417
414.07798066298	1016.6321400306
412.93726997245	1044.5239917558
411.80282692308	1076.2691410208
410.67460000000	1109.7080681884
409.55253825137	1145.0132008735
408.43659128065	1182.3296428157
407.32670923913	1221.8911197865
406.22284281843	1263.9007304614
405.12494324324	1308.5847947501
404.03296226415	1356.1997477312
402.94685215054	1407.0082348414
401.86656568365	1461.3149699300
400.79205614973	1519.4106003482
399.72327733333	1583.5380347520
