#Parameters = {R=130}
#"Wavelength / nm"	"Total ACS [pw] (R=130) [Magnitude / nm^2]"
#-------------------------------------------------------------
749.48114500000	6641.7095854231
745.75238308458	7366.6721043565
742.06053960396	8261.8562724560
738.40506896552	9387.1902676835
734.78543627451	10813.405389694
731.20111707317	12627.590635740
727.65159708738	14984.974502386
724.13637198068	17944.141233234
720.65494711538	21217.273588820
717.20683732057	24215.611414780
713.79156666667	26053.008799984
710.40866824645	26094.465206237
707.05768396226	24503.074474560
703.73816431925	22035.407339219
700.44966822430	19421.682436292
697.19176279070	17065.700053287
693.96402314815	15096.996482960
690.76603225806	13506.331767969
687.59738073394	12223.675311652
684.45766666667	11186.363486057
681.34649545455	10360.799635912
678.26347963801	9700.6766204735
675.20823873874	9171.1498727112
672.18039910314	8746.7485574631
669.17959375000	8408.8578021558
666.20546222222	8144.3947175842
663.25765044248	7944.2757798220
660.33581057269	7802.6140173745
657.43960087719	7716.0602820379
654.56868558952	7683.3977446780
651.72273478261	7736.8605879665
648.90142424242	7932.8447879782
646.10443534483	8194.0146162329
643.33145493562	8531.0904284719
640.58217521368	8956.3689956301
637.85629361702	9484.8368753879
635.15351271186	10134.777134290
632.47354008439	10927.384062165
629.81608823529	11885.662663533
627.18087447699	13033.299014609
624.56762083333	14390.688983015
621.97605394191	15968.415267069
619.40590495868	17787.811746055
616.85690946502	19918.352654247
614.32880737705	22153.403363799
611.82134285714	24351.348459625
609.33426422764	26335.413745769
606.86732388664	27938.218730762
604.42027822581	29064.829932129
601.99288755020	29729.651884260
599.58491600000	30077.181535475
597.19613147410	30358.325188309
594.82630555556	30907.362634669
592.47521343874	32159.947260853
590.14263385827	34678.158000917
587.82834901961	39138.423297723
585.53214453125	46789.622017614
583.25380933852	56596.263702478
580.99313565891	61779.428871750
578.74991891892	56091.750242385
576.52395769231	45228.949652594
574.31505363985	35959.584178048
572.12301145038	29599.002240075
569.94763878327	25442.778020828
567.78874621212	22729.891480102
565.64614716981	20957.619588642
563.51965789474	19843.805480484
561.40909737828	19762.050107331
559.31428731343	19985.757107740
557.23505204461	20435.583054259
555.17121851852	21046.528509901
553.12261623616	21750.651314185
551.08907720588	22479.356137679
549.07043589744	23160.432115146
547.06652919708	23730.769814659
545.07719636364	24147.451660162
543.10227898551	24400.558818722
541.14162093863	24505.154819249
539.19506834532	24512.070068019
537.26246953405	24360.340462790
535.34367500000	24267.133958536
533.43853736655	24345.571129923
531.54691134752	24717.446732446
529.66865371025	25533.094085761
527.80362323944	26993.930836870
525.95168070175	29382.822691926
524.11268881119	33078.722184095
522.28651219512	38487.671505782
520.47301736111	45658.700348636
518.67207266436	53361.634658762
516.88354827586	58458.676114194
515.10731615120	58176.368558837
513.34325000000	53700.250925266
511.59122525597	48867.203217273
509.85111904762	45752.343062984
508.12281016949	44029.782677799
506.40617905405	41965.137316984
504.70110774411	38721.512963460
503.00747986577	35328.338978786
501.32518060201	32727.112637734
499.65409666667	31099.043429876
497.99411627907	30303.481858786
496.34512913907	30178.810600577
494.70702640264	30721.486447685
493.07970065789	31857.761811612
491.46304590164	33514.688036499
489.85695751634	35660.790109295
488.26133224756	38254.620712943
486.67606818182	41206.110645601
485.10106472492	44348.612001507
483.53622258065	47408.718731387
481.98144372990	50041.010305814
480.43663141026	51901.472906687
478.90169009585	52775.205133369
477.37652547771	52666.249112551
475.86104444444	52009.341799968
474.35515506329	50965.910332046
472.85876656151	49793.390624862
471.37178930818	48747.594976832
469.89413479624	47967.488431480
468.42571562500	47458.323731621
466.96644548287	47074.641698245
465.51623913043	46590.690040899
464.07501238390	45880.389809135
462.64268209877	45030.503007648
461.21916615385	44206.878998240
459.80438343558	43538.629474682
458.39825382263	43004.185101658
457.00069817073	42724.797772193
455.61163829787	42814.517217558
454.23099696970	43272.352571730
452.85869788520	44089.320525316
451.49466566265	45251.442710216
450.13882582583	46754.503516674
448.79110479042	48589.391833499
447.45142985075	50744.347771116
446.11972916667	53181.650720654
444.79593175074	55819.508133733
443.47996745562	58540.779445459
442.17176696165	61270.643567470
440.87126176471	63643.676427809
439.57838416422	65127.693531944
438.29306725146	65634.530224194
437.01524489796	65314.804485365
435.74485174419	64464.780381817
434.48182318841	63374.344540534
433.22609537572	62239.035737718
431.97760518732	61181.299471905
430.73629022989	60265.373153743
429.50208882521	59546.907680800
428.27494000000	59080.055806283
427.05478347578	58953.905216855
425.84155965909	59301.025916770
424.63520963173	60073.895348276
423.43567514124	61156.253119223
422.24289859155	62415.449394684
421.05682303371	63657.495435392
419.87739215686	64698.280727805
418.70455027933	65399.931654029
417.53824233983	65721.751423913
416.37841388889	65686.266248573
415.22501108033	65366.920295104
414.07798066298	64850.684230983
412.93726997245	64192.616390009
411.80282692308	63429.759794968
410.67460000000	62675.019394971
409.55253825137	61914.959659875
408.43659128065	61134.643987775
407.32670923913	60334.458846911
406.22284281843	59539.920793292
405.12494324324	58794.993310622
404.03296226415	58154.724334141
402.94685215054	57654.241415674
401.86656568365	57312.249261731
400.79205614973	57130.119758057
399.72327733333	57133.986378082
