#
#"Frequency / THz"	"Total RCS [pw] [Magnitude / nm^2]"
#-----------------------------------------------------
400.00000000000	1185.7931504621
401.00000000000	1199.9498688180
402.00000000000	1213.8714004758
403.00000000000	1227.6200479140
404.00000000000	1241.2596431837
405.00000000000	1254.8656866288
406.00000000000	1268.5155921094
407.00000000000	1282.2867225237
408.00000000000	1296.2519207377
409.00000000000	1310.4981354320
410.00000000000	1325.0981049196
411.00000000000	1340.1112860782
412.00000000000	1355.5931593192
413.00000000000	1371.5904258269
414.00000000000	1388.1319222443
415.00000000000	1405.2324159369
416.00000000000	1422.9203130565
417.00000000000	1441.1918894602
418.00000000000	1460.0351056615
419.00000000000	1479.4249621882
420.00000000000	1499.3302079207
421.00000000000	1519.7071978787
422.00000000000	1540.5010841078
423.00000000000	1561.6724079199
424.00000000000	1583.1654869018
425.00000000000	1604.9201574240
426.00000000000	1626.8791910708
427.00000000000	1648.9827437776
428.00000000000	1671.1800203921
429.00000000000	1693.4136898390
430.00000000000	1715.6581336256
431.00000000000	1737.8792558354
432.00000000000	1760.0497251856
433.00000000000	1782.1521568501
434.00000000000	1804.1791695518
435.00000000000	1826.1322679612
436.00000000000	1848.0202603790
437.00000000000	1869.8764480924
438.00000000000	1891.7271542871
439.00000000000	1913.6110317219
440.00000000000	1935.5653480494
441.00000000000	1957.6386965807
442.00000000000	1979.8820163261
443.00000000000	2002.3453177073
444.00000000000	2025.0889064755
445.00000000000	2048.1667100013
446.00000000000	2071.6268921273
447.00000000000	2095.5140202000
448.00000000000	2119.8680616388
449.00000000000	2144.7217241078
450.00000000000	2170.0988108752
451.00000000000	2196.0304670136
452.00000000000	2222.5254469377
453.00000000000	2249.5862156328
454.00000000000	2277.2081540852
455.00000000000	2305.3736307941
456.00000000000	2334.0622311885
457.00000000000	2363.2440469758
458.00000000000	2392.8947090975
459.00000000000	2422.9752788652
460.00000000000	2453.4433800178
461.00000000000	2484.2540419368
462.00000000000	2515.3617364022
463.00000000000	2546.7220198966
464.00000000000	2578.2917024825
465.00000000000	2610.0389632267
466.00000000000	2641.9317843124
467.00000000000	2673.9415187345
468.00000000000	2706.0449969386
469.00000000000	2738.2251095744
470.00000000000	2770.4785316649
471.00000000000	2802.8033283385
472.00000000000	2835.2218175002
473.00000000000	2867.7509698598
474.00000000000	2900.4145130043
475.00000000000	2933.2481788811
476.00000000000	2966.2882704942
477.00000000000	2999.5799982926
478.00000000000	3033.1751550386
479.00000000000	3067.1323915653
480.00000000000	3101.5036911111
481.00000000000	3136.3429424094
482.00000000000	3171.7018303992
483.00000000000	3207.6297371101
484.00000000000	3244.1694674208
485.00000000000	3281.3637342038
486.00000000000	3319.2547400543
487.00000000000	3357.8638442852
488.00000000000	3397.2119111282
489.00000000000	3437.3050471368
490.00000000000	3478.1441644544
491.00000000000	3519.7179692987
492.00000000000	3562.0167819403
493.00000000000	3605.0185553698
494.00000000000	3648.6901184294
495.00000000000	3692.9941764853
496.00000000000	3737.8836189290
497.00000000000	3783.3122660004
498.00000000000	3829.2269839283
499.00000000000	3875.5863540174
500.00000000000	3922.3432494806
501.00000000000	3969.4487416191
502.00000000000	4016.8626319253
503.00000000000	4064.5432912376
504.00000000000	4112.4636498244
505.00000000000	4160.5998325627
506.00000000000	4208.9479858272
507.00000000000	4257.5102061887
508.00000000000	4306.2956870259
509.00000000000	4355.3238438968
510.00000000000	4404.6240686187
511.00000000000	4454.2394291290
512.00000000000	4504.2234097223
513.00000000000	4554.6454372955
514.00000000000	4605.5764168757
