#
#"Frequency / THz"	"Total ACS [pw] [Magnitude / nm^2]"
#-----------------------------------------------------
400.00000000000	619.67981377955
401.00000000000	586.01230845569
402.00000000000	539.20420591892
403.00000000000	481.13921070912
404.00000000000	413.89527967251
405.00000000000	339.73333943979
406.00000000000	260.98911540153
407.00000000000	180.02770059813
408.00000000000	99.173726311706
409.00000000000	20.656640854206
410.00000000000	0.0000000000000
411.00000000000	0.0000000000000
412.00000000000	0.0000000000000
413.00000000000	0.0000000000000
414.00000000000	0.0000000000000
415.00000000000	0.0000000000000
416.00000000000	0.0000000000000
417.00000000000	0.0000000000000
418.00000000000	0.0000000000000
419.00000000000	0.0000000000000
420.00000000000	0.0000000000000
421.00000000000	0.0000000000000
422.00000000000	0.0000000000000
423.00000000000	0.0000000000000
424.00000000000	0.0000000000000
425.00000000000	0.0000000000000
426.00000000000	11.662219634007
427.00000000000	69.524768678211
428.00000000000	125.84069767798
429.00000000000	179.16260089492
430.00000000000	228.18909271442
431.00000000000	271.76695058934
432.00000000000	308.93418175807
433.00000000000	338.93265037655
434.00000000000	361.22517820308
435.00000000000	375.48951470217
436.00000000000	381.64130273725
437.00000000000	379.81474939973
438.00000000000	370.35129624561
439.00000000000	353.79176441735
440.00000000000	330.84134112961
441.00000000000	302.36344245938
442.00000000000	269.34175890886
443.00000000000	232.85467198983
444.00000000000	194.03627536363
445.00000000000	154.05686569737
446.00000000000	114.07735288092
447.00000000000	75.232548219332
448.00000000000	38.591471916716
449.00000000000	5.1333865543002
450.00000000000	0.0000000000000
451.00000000000	0.0000000000000
452.00000000000	0.0000000000000
453.00000000000	0.0000000000000
454.00000000000	0.0000000000000
455.00000000000	0.0000000000000
456.00000000000	0.0000000000000
457.00000000000	0.0000000000000
458.00000000000	0.0000000000000
459.00000000000	0.0000000000000
460.00000000000	0.0000000000000
461.00000000000	18.147839047843
462.00000000000	50.158385474253
463.00000000000	84.087096429277
464.00000000000	119.03792995677
465.00000000000	154.10107753776
466.00000000000	188.39267900605
467.00000000000	221.06714157709
468.00000000000	251.34371236821
469.00000000000	278.51869692426
470.00000000000	301.99207838093
471.00000000000	321.26967850292
472.00000000000	335.99160599724
473.00000000000	345.91554066870
474.00000000000	350.94387282725
475.00000000000	351.10586486840
476.00000000000	346.56493186439
477.00000000000	337.60889506324
478.00000000000	324.63574651114
479.00000000000	308.15026376314
480.00000000000	288.74102690210
481.00000000000	267.06880047869
482.00000000000	243.84304283816
483.00000000000	219.80576642584
484.00000000000	195.70889063106
485.00000000000	172.30240112531
486.00000000000	150.30041054560
487.00000000000	130.37903625900
488.00000000000	113.14480168401
489.00000000000	99.130315435265
490.00000000000	88.775852618125
491.00000000000	82.417715219619
492.00000000000	80.290923130297
493.00000000000	82.510259377408
494.00000000000	89.077971291199
495.00000000000	99.883023692272
496.00000000000	114.70542812501
497.00000000000	133.22121113152
